Fecha;Adelantos;Documentos;Hipotecarios;Otros;Personales;Prendarios;Tarjetas
2020-06-01;289132;483191;212176;137440;400057;72885;588375
2020-06-02;284593;480553;212103;138586;399950;72987;595294
2020-06-03;284309;484122;212057;139206;399632;73138;583958
2020-06-04;286755;488800;212099;139046;398621;73097;581549
2020-06-05;281837;493842;212137;138832;398386;72999;579720
2020-06-08;285661;494967;212020;139102;398150;72864;567549
2020-06-09;288740;496165;211910;139585;398296;71713;573035
2020-06-10;290901;498849;211830;140118;398175;71594;563640
2020-06-11;293823;501251;211656;142314;398418;71718;562000
2020-06-12;292495;503932;211659;143150;398791;72007;564365
2020-06-16;296252;503567;211778;143122;398927;72029;570550
2020-06-17;289744;502143;211786;144818;399201;72022;581215
2020-06-18;287146;504217;211784;144927;399647;72300;587383
2020-06-19;284159;506798;211745;144377;399815;72325;592217
2020-06-22;287023;506825;211716;144071;399550;72786;598966
2020-06-23;283192;507933;211690;143891;401496;73255;609076
2020-06-24;278848;510185;211683;144275;401607;73619;613495
2020-06-25;279273;514418;211644;144424;401742;74160;617488
2020-06-26;277601;518818;211685;144743;401989;74404;625150
2020-06-29;275402;520502;211687;143991;401570;74784;631095
2020-06-30;267975;523310;212304;144532;397920;75155;643230
2020-07-01;277635;521302;212076;143868;399579;75993;637494
2020-07-02;276493;520805;211701;143414;399293;75176;642782
2020-07-03;277916;521851;211855;143140;399182;75554;645072
2020-07-06;281062;523154;211345;142492;397969;75343;637620
2020-07-07;277949;523110;211814;142973;397827;75247;640091
2020-07-08;275987;526042;211718;144663;397710;75371;625213
2020-07-13;288261;527885;211579;146457;397645;75145;607034
2020-07-14;285622;527996;211323;146183;397919;75177;612343
2020-07-15;284450;529020;211309;146052;398091;75121;598477
2020-07-16;288742;531747;211250;145512;398458;75283;599368
2020-07-17;285170;530892;211431;144368;398716;75833;601098
2020-07-20;285861;532366;211511;144084;399289;75948;604615
2020-07-21;285992;532109;211477;144762;399710;76132;612219
2020-07-22;281329;533236;211439;144746;401857;76677;617952
2020-07-23;277670;535752;211419;145074;402355;76911;624809
2020-07-24;270209;538458;211404;145150;402665;77350;632285
2020-07-27;268748;539679;211399;145085;403487;77573;639620
2020-07-28;265523;540221;211428;146641;403825;78009;654926
2020-07-29;261272;543048;211392;146433;403956;78220;665806
2020-07-30;259818;549326;211411;149375;403373;79054;674380
2020-07-31;254511;552225;211796;151127;400671;80470;692958
2020-08-03;267514;551962;211652;152334;402200;81076;683640
2020-08-04;262311;553016;211498;152034;402178;81147;698282
2020-08-05;264170;555022;211469;153488;402092;80174;682727
2020-08-06;264594;556667;211485;153313;401630;80730;677863
2020-08-07;268380;559907;211486;153767;401679;80893;674275
2020-08-10;275746;561923;211636;152856;401681;80786;653973
2020-08-11;272662;562753;211390;154159;401326;80780;658690
2020-08-12;275095;564532;211377;155036;401682;80966;648580
2020-08-13;267920;566679;211368;154545;402247;81288;647214
2020-08-14;265809;570099;211352;153544;402856;81603;649096
2020-08-18;269016;569760;211327;153446;403388;81813;654306
2020-08-19;270226;570449;211288;153809;404080;82271;666260
2020-08-20;269510;570511;211922;154446;403648;82732;673870
2020-08-21;267304;571203;211913;156429;403979;82611;680845
2020-08-24;272364;572755;211901;156911;406841;82663;689095
2020-08-25;268917;573850;211871;158456;407220;82969;702597
2020-08-26;268407;575981;211866;158875;407616;83343;707407
2020-08-27;270404;577740;211926;158335;407913;83975;713904
2020-08-28;267217;579163;211923;160140;407955;84452;718428
2020-08-31;266866;580018;212364;160296;405959;85022;729063
2020-09-01;271596;578778;212040;161919;407978;85960;727288
2020-09-02;266068;578400;212015;161639;408348;85343;717946
2020-09-03;268072;579259;212051;161419;408152;85236;708791
2020-09-04;269347;583183;212115;160924;407528;85512;703913
2020-09-07;275314;581282;212159;160622;407211;85392;683910
2020-09-08;271618;581314;212071;160636;407693;85571;683634
2020-09-09;270770;582689;212028;161701;408160;85988;666604
2020-09-10;275302;584903;212075;161709;408299;86105;663176
2020-09-11;277213;587592;211970;161868;408690;86400;664845
2020-09-14;275803;587144;212019;163636;408952;86489;669961
2020-09-15;277276;587904;211958;162940;409415;86627;678447
2020-09-16;281404;588853;211930;163547;410036;86840;682147
2020-09-17;281443;590989;211937;163509;410709;87130;686593
2020-09-18;279118;592687;211975;162620;411501;87390;692252
2020-09-21;279781;592896;212069;162056;412470;87644;699722
2020-09-22;275788;593441;212118;161182;414905;88073;710404
2020-09-23;270924;595381;212096;159908;415637;88439;714102
2020-09-24;267359;597663;212059;158253;416055;88887;718975
2020-09-25;266855;605158;212219;158911;417502;89265;725728
2020-09-28;267661;602757;211910;156704;417051;89397;732161
2020-09-29;265790;602558;211926;159341;417024;89343;748623
2020-09-30;256518;604509;212219;158768;413426;90266;745287
2020-10-01;264791;604350;211926;160962;415681;91302;751986
2020-10-02;261883;606181;212259;160948;416265;91804;753818
2020-10-05;266804;605869;212262;159804;415706;91769;746536
2020-10-06;274693;605715;212168;158774;415678;91099;749217
2020-10-07;269384;608407;212090;158641;416227;91253;734944
2020-10-08;272537;611457;212015;160293;417035;91442;730266
2020-10-09;273009;617706;211976;161731;418003;91684;727236
2020-10-13;281945;616753;211850;161429;418595;91479;713547
2020-10-14;282184;615882;211802;160958;419484;91642;721969
2020-10-15;286465;616948;211739;161405;420240;91642;721905
2020-10-16;283820;620014;211666;163264;421358;91872;711735
2020-10-19;283124;620124;211605;162045;422331;92057;718218
2020-10-20;283412;621793;211750;161087;423168;92381;732025
2020-10-21;282535;621925;211779;162830;424033;92999;737043
2020-10-22;290823;624049;211709;159621;426636;93218;742289
2020-10-23;283590;627086;212149;158263;427435;93662;748028
2020-10-26;278181;626792;212215;159685;428432;94062;757463
2020-10-27;278898;625959;212212;159449;428952;94277;770424
2020-10-28;277186;627589;212945;160243;429470;94848;785745
2020-10-29;279542;630568;212970;160563;429527;95522;791394
