Fecha;Adelantos;Documentos;Hipotecarios;Otros;Personales;Prendarios;Tarjetas
2017-01-02;103505;199492;61154;38726;221398;53538;236248
2017-01-03;104046;195953;61207;38849;221669;53628;238149
2017-01-04;102192;195319;61269;39006;221938;53699;236159
2017-01-05;104365;196450;61362;39019;222266;53607;233199
2017-01-06;101898;197358;61418;38858;222633;53723;232182
2017-01-09;106475;197320;61463;38876;222811;53786;227681
2017-01-10;106716;197087;61448;38799;222927;53739;228139
2017-01-11;106884;196775;61526;38795;223432;53854;226498
2017-01-12;107956;197226;61694;38712;223910;53986;223563
2017-01-13;108117;198335;61832;38538;224457;54119;221624
2017-01-16;112496;198532;61754;38683;225051;54188;221434
2017-01-17;109592;196516;61783;38452;225605;54333;223740
2017-01-18;107227;196381;61909;38092;226179;54558;225078
2017-01-19;104654;196895;61972;37821;226529;54742;226990
2017-01-20;104069;197924;62042;37498;227106;54977;227798
2017-01-23;104788;197629;62053;37519;227685;54993;229166
2017-01-24;106035;196116;62082;37193;228506;55200;233297
2017-01-25;105435;196098;62215;36847;229057;55445;236025
2017-01-26;104798;196389;62334;36747;229578;55571;238927
2017-01-27;103516;196957;62440;36653;230099;55770;240558
2017-01-30;105715;196881;62556;36812;230254;55869;242204
2017-01-31;104237;195319;62884;37660;230004;56033;243733
2017-02-01;105489;193827;62781;37855;230646;56300;241599
2017-02-02;106693;193975;62883;38097;230813;56488;239236
2017-02-03;105634;194857;62985;37739;231125;56637;237071
2017-02-06;108714;195377;62985;37878;230852;56452;233592
2017-02-07;109938;195257;63045;37606;231178;56563;233413
2017-02-08;109309;195745;63120;37834;231725;56669;231138
2017-02-09;110443;196722;63201;37313;232222;56808;226017
2017-02-10;112481;198193;63227;38062;232442;56338;222617
2017-02-13;115683;198590;63243;38048;232779;56439;222130
2017-02-14;113674;198352;63311;37725;233863;56555;223592
2017-02-15;113153;198825;63376;37534;234439;56639;224288
2017-02-16;112055;199070;63548;37461;235123;56768;225216
2017-02-17;110817;198857;63589;37252;235591;56973;226302
2017-02-20;111504;199075;63716;36775;236162;57078;228057
2017-02-21;111801;197961;63728;36391;236732;57116;230364
2017-02-22;111096;197742;63881;36496;237646;57262;232075
2017-02-23;112816;198709;64041;36259;237813;57531;234191
2017-02-24;109407;200002;64320;37294;237904;57841;236906
2017-03-01;112334;199057;64233;38193;238212;57752;236425
2017-03-02;113789;194394;64298;38243;238602;57832;240082
2017-03-03;109448;194045;64494;38174;238961;57961;241760
2017-03-06;111147;194613;64523;37825;238858;57757;241363
2017-03-07;110901;194650;64594;37928;239292;57814;241692
2017-03-08;111402;195484;64751;37715;239985;57942;240206
2017-03-09;109035;196608;64884;37967;240667;58035;237445
2017-03-10;110407;197950;64948;38165;241064;57956;235459
2017-03-13;112921;197969;64991;38164;241587;58009;230378
2017-03-14;113161;196987;65096;38058;242347;58124;231298
2017-03-15;112336;197304;65176;37155;243218;58270;229065
