Fecha;Circulante;Cta. Cte. en BCRA;Total
2015-01-02;359478,7172981;106382,82274952;465861,54004762
2015-01-05;359085,35533118;105893,66342402;464979,0187552
2015-01-06;358018,88494281;106989,771424;465008,65636681
2015-01-07;356104,98606486;102638,80650874;458743,7925736
2015-01-08;355193,235842;105598,61717618;460791,85301818
2015-01-09;354749,12701419;107007,20852502;461756,33553921
2015-01-12;354114,88525858;108877,87659926;462992,76185784
2015-01-13;352524,47119577;112289,94319051;464814,41438628
2015-01-14;350318,77014371;104792,69458667;455111,46473038
2015-01-15;348298,50539717;106839,62335916;455138,12875633
2015-01-16;346382,15326613;106413,35260684;452795,50587297
2015-01-19;345210,427568;107576,93011232;452787,35768032
2015-01-20;344053,35993708;110568,6781775;454622,03811458
2015-01-21;342675,45133724;100135,59390695;442811,04524419
2015-01-22;341530,96053882;100959,49436306;442490,45490188
2015-01-23;340840,84944394;103474,62405138;444315,47349532
2015-01-26;340321,54342852;97810,3980950098;438131,94152353
2015-01-27;339803,27536016;99784,7856389297;439588,06099909
2015-01-28;339344,80814294;98426,7704863901;437771,57862933
2015-01-29;339720,31921691;105014,38570246;444734,70491937
2015-01-30;341071,79751537;106922,64800469;447994,44552006
2015-02-02;343098,2550214;106286,77075292;449385,02577432
2015-02-03;344274,38695032;101673,14698351;445947,53393383
2015-02-04;345362,3924179;104392,38371881;449754,77613671
2015-02-05;346959,03415953;105000,12919174;451959,16335127
2015-02-06;348572,00171607;104131,31838572;452703,32010179
2015-02-09;349701,86546732;104335,00898098;454036,8744483
2015-02-10;349822,81721886;106064,80995188;455887,62717074
2015-02-11;349051,03345285;100414,59390124;449465,62735409
2015-02-12;349294,2901148;97059,7481017599;446354,03821656
2015-02-13;349157,06168001;101120,78859584;450277,85027585
2015-02-18;348176,06043816;105397,64263826;453573,70307642
2015-02-19;345961,65482349;105949,11150223;451910,76632572
2015-02-20;343778,34357283;112158,75647062;455937,10004345
2015-02-23;342045,33153581;111231,44594776;453276,77748357
2015-02-24;340288,89373518;109059,70340076;449348,59713594
2015-02-25;339718,61515699;106115,48141318;445834,09657017
2015-02-26;340214,76026664;103680,67054861;443895,43081525
2015-02-27;341149,41972729;105258,61353282;446408,03326011
2015-03-02;342730,43256206;114826,1922522;457556,62481426
2015-03-03;344174,65304048;113009,64794855;457184,30098903
2015-03-04;345296,2907938;108142,4706352;453438,761429
2015-03-05;347187,80377888;103732,18245773;450919,98623661
2015-03-06;349010,37116588;99440,1468788399;448450,51804472
2015-03-09;349964,24106592;104110,99115073;454075,23221665
2015-03-10;349857,88741496;104443,82893438;454301,71634934
2015-03-11;349064,9049284;102217,05304262;451281,95797102
2015-03-12;348009,75484357;106502,94869065;454512,70353422
2015-03-13;346737,53811601;105481,5438341;452219,08195011
2015-03-16;345731,24477821;112303,31684063;458034,56161884
2015-03-17;344543,25585175;110323,14949341;454866,40534516
