"Factor","Valor"
"Total",758460.472703031
"Compra de
divisas al
SP",-253840.1491
"Compra de
divisas al
Tesoro",-201010.7
"Otras
operaciones
con Tesoro",1989774.32967942
"Pases",-486263.644310296
"Leliq",-1022044.09016653
"Redesc.",-2.39999999999964
"Intereses",862809.758895805
"Otros",-130962.300898903
