"Fecha","Adelantos","Doc. s/f (desde 90 d.)","Doc. s/f (hasta 89 d.)","Prend. (hasta 1 año)","Prend. (más de 1 año)"
2019-01-31,2.67517862181392,2.42819003839987,2.53184426357036,-0.557537525690865,-0.727595238861223
2019-02-28,1.24178359799223,0.527031784227794,0.682831617789925,-2.0886386173798,-1.52727736140076
2019-03-31,0.540977868287462,-0.0226470759363551,0.181149514065471,-2.47139047767713,-2.68314787197592
2019-04-30,2.24142506099068,1.38186755413514,2.17939513781553,-1.44573024254989,-1.41270132241768
2019-05-31,2.91428043039754,1.99086178375434,2.80350253671091,-1.17398986507362,-1.045422820576
2019-06-30,3.2316579596696,2.1039751071886,3.13105891383674,-1.29286525492491,-0.729023828684439
2019-07-31,3.42029432436419,2.4157071333744,3.17567082006474,-0.623332201705917,-0.214810949525812
2019-08-31,2.26640103803006,1.74453552619551,2.28163213591774,-1.95020816665462,-1.63516493139967
2019-09-30,1.10984909192984,-0.757731426117936,0.515654700389123,-4.09309014313707,-3.09515837032437
2019-10-31,3.07442881331592,2.17408158794035,2.79448214019289,-1.23529777983493,-0.680245010069336
2019-11-30,1.67423187092401,0.842133794055844,1.24739193523948,-2.61095332608875,-1.34322273059122
2019-12-31,1.728258375605,0.990864253587342,0.795671691876776,-2.29286904794668,-1.05825601358812
2020-01-31,2.69554396734086,1.90013046445519,1.94576894412897,-1.33449678242306,0.0574768476268472
2020-02-29,2.36458988323536,1.36880790824783,1.89569828877854,-0.843314805670359,0.0585254735636198
2020-03-31,0.590133752684352,-0.0348049510475401,0.164369061625713,-2.25394212868644,-1.22581716448237
2020-04-30,1.70047851377657,0.806359651597766,1.23740868983824,-0.573818316558883,0.486151794619127
2020-05-31,1.36208372273192,0.831929274262677,0.948464772223412,-0.932516645565318,0.440468481817113
2020-06-30,0.593153216193376,0.240237681088784,0.538545038706073,-1.39637754868045,-0.224339351266034
2020-07-31,0.783975083591959,0.634368761071702,0.74963920629223,-0.613168114151863,0.0621041394095245
2020-08-31,-0.0317529932072236,-0.226494750836059,-0.267877374332171,-1.45336782389772,-0.558367162795192
2020-09-30,-0.290614542062817,-0.388667560823686,-0.486720579584532,-1.54342418672628,-0.613946397315557
2020-10-31,-0.941397501183994,-1.06347294714131,-0.810487647953473,-1.49716203146331,-1.46584004204006
2020-11-30,-0.00375302330064553,-0.137041500694535,0.153769722710284,-1.29140049582085,-0.902036580039967
2020-12-31,-0.673586382231273,-1.08622454925411,-0.667176468957142,-0.451643135114144,-1.53652095676249
