Fecha;Circulante en Entidades;Circulante en Público;Cta. Cte. en BCRA
2019-09-13;105117;819445;394422
2019-09-16;105691;817570;366220
2019-09-17;108649;812359;381683
2019-09-18;108410;809422;359066
2019-09-19;105886;809250;360272
2019-09-20;103799;809362;379594
2019-09-23;102075;810360;369051
2019-09-24;103436;808477;351199
2019-09-25;104583;807968;367431
2019-09-26;107089;808072;362898
2019-09-27;107010;812379;363828
2019-09-30;108456;816302;385271
2019-10-01;111237;817058;408460
2019-10-02;108329;820738;391536
2019-10-03;109184;825490;398189
2019-10-04;105204;833618;396621
2019-10-07;99384;842770;386538
2019-10-08;103607;840102;377262
2019-10-09;104326;839806;408354
2019-10-10;106501;840089;384325
2019-10-11;110239;838201;414813
2019-10-15;115730;832727;436274
2019-10-16;117149;828042;440000
2019-10-17;115395;825852;442907
2019-10-18;113649;824199;443090
2019-10-21;112605;821862;478642
2019-10-22;117307;813648;497275
2019-10-23;120850;807055;537631
2019-10-24;124805;800873;521178
2019-10-25;127202;796332;563648
2019-10-28;125127;795814;503601
2019-10-29;123922;794135;498622
2019-10-30;119975;796104;537645
2019-10-31;117214;800813;469216
2019-11-01;112616;808635;527822
2019-11-04;110984;818128;508969
2019-11-05;114115;821521;482082
2019-11-07;115177;826315;488543
2019-11-08;110522;834495;517632
2019-11-11;109920;836211;574577
2019-11-12;114325;829902;627254
2019-11-13;113687;828681;641062
2019-11-14;112909;828115;661067
2019-11-15;109973;829511;671256
2019-11-19;112056;825830;667557
2019-11-20;114818;820999;679779
2019-11-21;112062;821147;710235
2019-11-22;107832;823336;724019
2019-11-25;106896;824525;786423
2019-11-26;107672;824057;731851
2019-11-27;108547;827169;731479
2019-11-28;115543;831172;762130
2019-11-29;115046;841089;715486
2019-12-02;113934;852046;693338
2019-12-03;121672;854704;615916
2019-12-04;122899;862534;534540
2019-12-05;122328;874055;548616
2019-12-06;122031;886295;558965
2019-12-09;124469;895616;622507
2019-12-10;131145;895715;695645
2019-12-11;133314;898807;692630
2019-12-12;132748;904142;649921
2019-12-13;132685;910138;628785
2019-12-16;132045;919072;683216
2019-12-17;138808;922495;674878
2019-12-18;133916;933982;699622
2019-12-19;129378;949579;697732
2019-12-20;130324;968741;732477
2019-12-23;134724;984742;777183
2019-12-26;151558;986535;659232
2019-12-27;152579;994501;682029
2019-12-30;143665;1009740;741976
2020-01-02;150372;1008506;718409
2020-01-03;147738;1010074;676805
2020-01-06;142892;1012713;565586
2020-01-07;141926;1011178;527732
2020-01-08;136836;1013172;492604
2020-01-09;135720;1013087;479627
2020-01-10;135098;1011384;460008
2020-01-13;134895;1009754;483620
2020-01-14;137550;1003336;470351
2020-01-15;135240;1001556;458532
2020-01-16;131702;1000901;458861
2020-01-17;129564;1000031;454246
2020-01-20;130350;997592;499396
2020-01-21;132263;992955;589694
2020-01-22;129775;992273;581539
2020-01-23;128493;991765;477025
2020-01-24;125092;993328;560688
2020-01-27;125259;992940;788564
2020-01-28;128239;990538;672561
2020-01-29;129358;991518;628453
2020-01-30;130686;995135;571950
2020-01-31;130401;999994;578476
2020-02-03;127845;1004440;611467
2020-02-04;128929;1007143;677547
2020-02-05;127728;1010592;675597
2020-02-06;128267;1015790;743168
2020-02-07;126012;1021140;754879
2020-02-10;126499;1023889;756269
2020-02-11;132168;1016484;782094
2020-02-12;131088;1015348;781826
2020-02-13;129534;1013889;813965
2020-02-14;127069;1013575;814321
2020-02-17;128791;1011039;826348
2020-02-18;133258;1004960;803084
2020-02-19;133724;1003060;805120
2020-02-20;133411;1005200;749364
2020-02-21;135139;1006644;713694
2020-02-26;142215;1002876;661951
2020-02-27;147030;999807;569522
2020-02-28;140974;1007070;568090
2020-03-02;134796;1015668;663650
2020-03-03;133878;1016818;587793
2020-03-04;132703;1019631;551219
2020-03-05;131526;1026368;545565
2020-03-06;125749;1034198;560383
2020-03-09;123802;1039828;563614
2020-03-10;129954;1034352;622309
2020-03-11;131506;1030932;641829
2020-03-12;130856;1029605;699195
2020-03-13;128909;1030650;696649
2020-03-16;127310;1031439;698173
2020-03-17;133288;1027451;757353
2020-03-18;139806;1026373;753810
2020-03-19;141646;1031101;852644
2020-03-20;156637;1033295;834467
2020-03-25;176287;1037893;991708
2020-03-26;186670;1038016;1088410
2020-03-27;190155;1038724;985717
2020-03-30;179819;1053504;1058760
2020-04-01;186149;1061552;1145209
2020-04-02;208339;1067084;1157964
2020-04-03;210809;1083183;1139503
2020-04-06;193475;1114942;1103790
2020-04-07;200431;1124089;1124938
2020-04-08;200451;1133680;1107808
2020-04-13;189266;1150628;1098716
2020-04-14;195738;1147591;1097358
2020-04-15;195780;1148524;1094526
2020-04-16;194817;1150237;1080979
2020-04-17;192021;1152247;587612
2020-04-20;183369;1158574;584066
2020-04-21;180372;1159018;560893
2020-04-22;177405;1160599;535795
2020-04-23;175854;1161596;520672
2020-04-24;176021;1163424;460684
2020-04-27;172832;1171436;522231
2020-04-28;185080;1171314;474557
2020-04-29;189366;1176377;414315
2020-04-30;189356;1184848;492924
2020-05-04;179774;1204027;1027497
2020-05-05;185292;1208637;1066421
2020-05-06;186167;1215687;954812
2020-05-07;189791;1222037;889233
2020-05-08;188647;1231909;865225
2020-05-11;175685;1249722;937807
2020-05-12;177570;1250195;962828
2020-05-13;176661;1253559;896494
2020-05-14;176439;1256371;910992
2020-05-15;176480;1257998;1070328
2020-05-18;170421;1265395;820180
2020-05-19;173326;1264359;601526
2020-05-20;175501;1264194;553934
2020-05-21;183709;1262264;554519
2020-05-22;188031;1262757;536607
2020-05-26;188239;1267499;570666
2020-05-27;190933;1266608;526179
2020-05-28;196938;1266774;585716
2020-05-29;197329;1270580;663383
2020-06-01;187525;1285791;938183
2020-06-02;189827;1286979;741347
2020-06-03;191388;1289494;723935
2020-06-04;194764;1293581;687188
2020-06-05;194280;1297801;646906
2020-06-08;184239;1314473;614326
2020-06-09;186675;1313728;614940
2020-06-10;187487;1315799;624355
2020-06-11;190418;1319760;590831
2020-06-12;190087;1323213;584291
2020-06-16;180501;1336346;604610
2020-06-17;185890;1334786;594226
2020-06-18;185828;1336451;596230
2020-06-19;187844;1338015;584442
2020-06-22;179824;1349314;684358
2020-06-23;182758;1350107;602701
2020-06-24;183865;1352684;606251
2020-06-25;185159;1357494;598032
2020-06-26;188742;1363648;618982
2020-06-29;180379;1381264;640741
2020-06-30;190088;1385093;589320
2020-07-01;192438;1390786;775873
2020-07-02;197337;1396794;783343
2020-07-03;205713;1401535;761359
2020-07-06;195325;1421438;757004
2020-07-07;205639;1422764;759864
2020-07-08;216478;1424816;629627
2020-07-13;204116;1442291;708604
2020-07-14;213746;1434671;690535
2020-07-15;217386;1430354;640602
2020-07-16;216649;1429336;622742
2020-07-17;211930;1431723;578223
2020-07-20;198661;1442763;616957
2020-07-21;199265;1440395;635174
2020-07-22;196926;1441738;643915
2020-07-23;194946;1442655;644061
2020-07-24;196138;1443312;623505
2020-07-27;190840;1451436;618546
2020-07-28;193705;1449996;637501
2020-07-29;194906;1451387;645073
2020-07-30;198718;1453376;733952
2020-07-31;201035;1455248;772617
2020-08-03;192728;1467754;846492
2020-08-04;197239;1466225;833894
2020-08-05;199162;1466373;789035
2020-08-06;200842;1469306;730372
2020-08-07;202239;1470475;671517
2020-08-10;194430;1479959;714962
2020-08-11;199358;1474304;675208
2020-08-12;200551;1472671;692738
2020-08-13;200887;1471256;632001
2020-08-14;202265;1469278;599930
2020-08-18;196135;1474963;613777
2020-08-19;202457;1468872;598179
2020-08-20;203843;1465480;610931
2020-08-21;204084;1462847;592143
2020-08-24;197996;1467431;598721
2020-08-25;199664;1464259;614189
2020-08-26;200894;1462064;603185
2020-08-27;201540;1461542;617104
2020-08-28;202555;1462006;660196
2020-08-31;194255;1472914;620056
2020-09-01;196825;1470629;691752
2020-09-02;197292;1471281;742863
2020-09-03;200948;1472408;711352
2020-09-04;200258;1474723;709688
2020-09-07;186996;1489726;633685
2020-09-08;190218;1487002;624503
2020-09-09;192162;1484829;609765
2020-09-10;194147;1482950;599646
2020-09-11;195402;1481208;604677
2020-09-14;190948;1484435;660707
2020-09-15;193130;1480780;613129
2020-09-16;192941;1479857;615272
2020-09-17;191081;1480122;643178
2020-09-18;191116;1479066;610592
2020-09-21;185067;1485211;675799
2020-09-22;187388;1482293;642298
2020-09-23;186755;1482450;608850
2020-09-24;186708;1483380;627550
2020-09-25;187963;1482825;583284
2020-09-28;184114;1488832;640685
