Fecha;Circulante en Entidades;Circulante en Público;Cta. Cte. en BCRA
2021-01-04;253696;1643848;729205
2021-01-05;255285;1639122;724878
2021-01-06;252658;1638895;767470
2021-01-07;248028;1640374;795589
2021-01-08;244557;1640604;688651
2021-01-11;238654;1643099;713186
2021-01-12;245108;1633058;722548
2021-01-13;247542;1626544;784478
2021-01-14;246561;1621874;762764
2021-01-15;248187;1614847;736546
2021-01-18;246347;1613411;705271
2021-01-19;250838;1603751;715944
2021-01-20;252284;1597547;752514
2021-01-21;252106;1593616;760694
2021-01-22;252393;1589071;776526
2021-01-25;249773;1589460;783544
2021-01-26;253932;1582728;763624
2021-01-27;255484;1579612;728447
2021-01-28;254663;1578599;759686
2021-01-29;248788;1582283;650239
2021-02-01;240347;1590793;773238
2021-02-02;241383;1589221;775600
2021-02-03;240980;1589788;779977
2021-02-04;241423;1592124;765897
2021-02-05;236197;1598191;751992
2021-02-08;226584;1610482;797370
2021-02-09;236118;1603494;748805
2021-02-10;245294;1598953;746762
2021-02-11;255868;1594126;692909
2021-02-12;260237;1589709;665333
2021-02-17;260599;1588800;905219
2021-02-18;269333;1576098;854118
2021-02-19;267954;1570555;871919
2021-02-22;261798;1570483;821560
2021-02-23;263607;1562813;730035
2021-02-24;264414;1559674;699120
2021-02-25;262494;1558300;665033
2021-02-26;256333;1563169;589384
2021-03-01;240535;1578241;693697
2021-03-02;240296;1577115;691134
2021-03-03;239192;1578577;812364
2021-03-04;238977;1582559;816959
2021-03-05;232594;1590186;818647
2021-03-08;216968;1606397;773507
2021-03-09;220080;1602438;752096
2021-03-10;223820;1598917;812059
2021-03-11;227825;1595961;753556
2021-03-12;230518;1592469;726942
2021-03-15;229450;1591556;722809
2021-03-16;235588;1581799;642369
2021-03-17;238068;1576174;629256
2021-03-18;236747;1573130;617430
2021-03-19;232778;1571445;650345
2021-03-22;226704;1575018;664653
2021-03-23;231705;1567777;647551
2021-03-25;234332;1565095;694771
2021-03-26;240765;1560358;659980
2021-03-29;252405;1562308;687226
2021-03-30;266806;1557168;697978
2021-03-31;269742;1558246;604307
2021-04-05;248060;1580392;1033935
2021-04-06;249712;1576546;975195
2021-04-07;243945;1579898;971761
2021-04-08;235084;1585387;820372
2021-04-09;231772;1585962;712495
2021-04-12;228798;1586554;769704
2021-04-13;234879;1576864;758446
2021-04-14;232332;1575016;723323
2021-04-15;231504;1572035;707920
2021-04-16;230025;1568705;605624
2021-04-19;227330;1568037;698499
2021-04-20;229879;1560784;699469
2021-04-21;227208;1559774;705308
2021-04-22;225320;1559959;717821
2021-04-23;223066;1559216;686640
2021-04-26;216159;1563661;707524
2021-04-27;219757;1559288;703709
2021-04-28;221146;1559672;709383
2021-04-29;226826;1563197;616757
2021-04-30;222836;1572913;574366
2021-05-03;205004;1593716;695175
2021-05-04;204813;1598152;726108
2021-05-05;201691;1603452;725283
2021-05-06;205671;1620169;710032
2021-05-07;205016;1623398;660970
2021-05-10;193445;1637925;671207
2021-05-11;199565;1631566;713888
2021-05-12;204412;1626834;707460
2021-05-13;212617;1623930;709876
2021-05-14;213728;1621966;689910
2021-05-17;208007;1624905;652631
2021-05-18;212314;1617812;676330
2021-05-19;214260;1614696;696133
2021-05-20;216234;1615409;682734
2021-05-21;213943;1618154;671733
2021-05-26;214069;1622618;840664
2021-05-27;237746;1619468;806705
2021-05-28;237199;1621865;776384
2021-05-31;221177;1640195;655825
2021-06-01;220721;1644207;620425
2021-06-02;211905;1653990;798712
2021-06-03;213074;1665064;757695
2021-06-04;209078;1675025;725222
2021-06-07;186127;1699805;767926
2021-06-08;192428;1703074;705122
2021-06-09;191068;1705998;748839
2021-06-10;205076;1710231;741969
2021-06-11;203654;1713157;699083
2021-06-14;195171;1722759;755664
2021-06-15;211970;1720320;784706
2021-06-16;213196;1720075;776338
2021-06-17;226410;1724113;769750
2021-06-18;222597;1729122;789277
2021-06-22;224270;1745659;922217
2021-06-23;222040;1746976;847284
2021-06-24;235786;1751577;851936
2021-06-25;230723;1759556;879622
2021-06-28;217208;1774900;737240
2021-06-29;234876;1778924;714606
2021-06-30;227460;1789158;718939
2021-07-01;237503;1803319;775257
2021-07-02;223792;1819121;726978
2021-07-05;205725;1849566;707131
2021-07-06;215239;1857269;737962
2021-07-07;222296;1868735;747146
2021-07-08;226366;1876399;667803
2021-07-12;211673;1895616;868758
2021-07-13;224747;1885648;831833
2021-07-14;226219;1881158;872731
2021-07-15;224434;1880020;926520
2021-07-16;220011;1880753;747914
2021-07-19;211921;1885911;815076
2021-07-20;215015;1880823;817142
2021-07-21;215002;1879091;797749
2021-07-22;213349;1879775;864289
2021-07-23;210153;1881376;809865
2021-07-26;204787;1886875;775593
2021-07-27;214143;1882513;704925
2021-07-28;219267;1880025;665183
2021-07-29;231374;1881255;697105
2021-07-30;228407;1885794;668877
2021-08-02;213710;1902325;833005
2021-08-03;224160;1904461;887842
2021-08-04;226333;1904469;869327
2021-08-05;225572;1911274;835513
2021-08-06;215980;1921349;814041
2021-08-09;200888;1937499;803468
2021-08-10;214671;1932174;793007
2021-08-11;219171;1927544;817521
2021-08-12;227596;1926417;788157
2021-08-13;229808;1923684;776511
2021-08-17;227007;1926879;836025
2021-08-18;235226;1916477;841792
2021-08-19;234052;1912647;827980
2021-08-20;229686;1910927;836289
2021-08-23;220245;1915596;661010
2021-08-24;223961;1909647;719848
2021-08-25;224914;1906939;721157
2021-08-26;224637;1908454;735455
2021-08-27;223169;1909033;765468
2021-08-30;219403;1915470;722643
2021-08-31;229103;1913363;724366
2021-09-01;228962;1915863;805132
2021-09-02;234852;1922558;822039
2021-09-03;226697;1932402;786205
2021-09-06;204859;1956119;744520
