"Factor","Valor"
"Total",1244864.47270303
"Compra de
divisas al
SP",-453442.8452
"Compra de
divisas al
Tesoro",-283384.805614885
"Otras
operaciones
con Tesoro",2503101.84164611
"Pases",-900356.05236701
"Leliq",-1059918.18930675
"Redesc.",-35.6511896899992
"Intereses",1555522.47099402
"Otros",-116621.964862298
