Fecha;Pases Pasivos;LELIQ;Cta. Cte. en BCRA;Circulante
2019-01-02;1833;761398,183322;525096;860000
2019-01-03;1295;794499,971541;494590;859545
2019-01-04;1084;804507,182586;486492;859079
2019-01-07;3032;821745,002842;475785;857916
2019-01-08;305;815998,796845;486048;856719
2019-01-09;45;840865,661581;464551;854612
2019-01-10;244;840827,325878;469383;852113
2019-01-11;124;851417,430743;463033;849410
2019-01-14;82;830269,656285;491444;846176
2019-01-15;678;830715,78971;498718;842218
2019-01-16;373;839509,679535;496311;838430
2019-01-17;122;836004,060295;507225;833670
2019-01-18;6586;857975,151717;485066;829324
2019-01-21;273;856186,151934;500089;824637
2019-01-22;53;842839,5978;521675;820734
2019-01-23;472;834469,597211;537485;816515
2019-01-24;483;828443,310108;549852;813317
2019-01-25;13060;815096,118247;556804;810515
2019-01-28;47431;784788,723049;557902;808922
2019-01-29;77151;736504,558307;581921;807458
2019-01-30;83581;740777,508165;574878;806324
2019-01-31;112096;743976,608165;545695;807110
2019-02-01;6713;765000;632618;808840
2019-02-04;4180;805000;598043;810616
2019-02-05;467;840000;571039;811247
2019-02-06;1744;855000;558165;812743
2019-02-07;857;890000;525679;813634
2019-02-08;503;905000;513040;814644
2019-02-11;3466;915000;502069;814354
2019-02-12;3820;920000;502894;812658
2019-02-13;3576;945000;482732;810262
2019-02-14;4102;945000;486031;807879
2019-02-15;1513;945000;491917;805815
2019-02-18;85;945000;497497;803149
2019-02-19;176;935000;511430;800735
2019-02-20;297;947660,537681;502633;798296
2019-02-21;11;951535,994374;502425;796386
2019-02-22;1537;933230,021015;520541;794573
2019-02-25;283,7;903230,021015;557334,9;793760,9
2019-02-26;642,8;883230,021015;577344;796183
2019-02-27;199,1;855569,483334;603074;801080
2019-02-28;34115,9;825038,011214;596971,8;806108,8
2019-03-01;3168;858343,984573;591409;812183
2019-03-06;1076;898870,802494;551134;815760
2019-03-07;1099;962045,210249;487901;817789
2019-03-08;6;983236,963403;470295;816760
2019-03-11;6;1015619,547222;438865;816012
2019-03-12;6;1015619,547222;442239;814871
2019-03-13;5;1016131,564778;446405;812646,4
2019-03-14;18;995177,868436;471557;810776
2019-03-15;215;993848,680439;477204;808336
2019-03-18;6;998450,957098;476863;805760
2019-03-19;918;1007582,050951;472126;803069
2019-03-20;115,6;1016664,812664;469315,9;800329,5
2019-03-21;3140,5;1001957,428273;486094,8;797492,7
2019-03-22;20;1007121,562738;488776;795351
2019-03-25;1017;1000068,753099;497857;794552
2019-03-26;111;981788,457676;520151;795064
2019-03-27;6;973112,353532;528599;798452
2019-03-28;65;971662,260526;530287;801389
2019-03-29;27210;927638,184427;546526;804995
2019-04-01;237;947295,949048;554020;808143
2019-04-03;4174;958374,465229;537067;812581
2019-04-04;212;966952,267058;531754;815281
2019-04-05;120;998987,980663;502554;816137
2019-04-08;179;1030748,566347;471714;817240
2019-04-09;145,1;1032515,743821;471590;818087
2019-04-10;529;1030273,807876;475591;818161
2019-04-11;131;1026234,22702;483806;818245
2019-04-12;176;1011644,852145;502696;817964
2019-04-15;3674;1012016,516996;497368;819932
2019-04-16;1726;1024038,957878;485561;822588
2019-04-17;949;1079987,629246;440617;821480
2019-04-22;2419;1071834,626602;449296;819091
2019-04-23;695;1053999,925072;472316;815557
2019-04-24;409;1028263,802043;504805;813216
2019-04-25;235;994873,368287;541203;812007
2019-04-26;126;935872,913583;603796;814523
2019-04-29;1481;945141,065984;592060;817857
2019-04-30;13476;942814,079063;584963;817956
2019-05-02;186;962535,528034;575549;821694
2019-05-03;175;970168,798083;571936;823592
2019-05-06;2612;990798,306189;546219;826413
2019-05-07;903;998902,489204;543640;828297
2019-05-08;2806;1040964,528015;498789;828776
2019-05-09;975;1065846,60648;474141;830532
2019-05-10;671;1091899,168127;455367;832041
2019-05-13;679;1070394,766548;477726;831531
2019-05-14;639;1052354,37076;502172;830657
2019-05-15;638;1035246,687516;521041;828484
2019-05-16;635;1037932,368913;520895;826234
2019-05-17;755;1042763,07227;527436;823705
2019-05-20;628;1055828,266758;516849;821417
2019-05-21;626;1079580,395646;501818;818642
2019-05-22;752;1068237,842378;515349;816423
2019-05-23;721;1054894,24368;530156;815016
2019-05-24;2758;1062541,830258;500375;814610
2019-05-27;1176;1047944,425284;516883;816825
2019-05-28;4113;1035509,43581;520053;821367
2019-05-29;6147;1029241,394495;524422;821367
2019-05-30;43879;991348,982454;523949;821910
2019-05-31;42676;982202,996779;532109;824343
2019-06-03;3046;1018717,62292;576139;828861
2019-06-04;2418;1033938,294152;558175;832627
2019-06-05;550;1078349,519533;512568;835708
2019-06-06;1934;1135514,582939;447299;839491
2019-06-07;901;1140576,999062;451229;843838
2019-06-10;507;1139901,760006;451689;848534
2019-06-11;592;1138400,909125;452941;849725
2019-06-12;2528;1115801,198457;474465;850285
2019-06-13;2594;1124998,811203;468220;851588
2019-06-14;1860;1139425,050809;470339;852583
2019-06-18;945;1119472,688191;488287;854126
2019-06-19;5307;1115001,497716;489784;855270
2019-06-21;5132;1140820,224701;481375;855520
2019-06-24;837;1142998,803055;494025;855530
2019-06-25;6289;1128231,87249;510057;856110
2019-06-26;7687;1096273,389539;542997;859449
2019-06-27;6788;1097454,485839;534976;866336
2019-06-28;27631;1105775,977799;503343;872460
2019-07-01;9695;1128317,27417;530067;882714
2019-07-02;8263;1163508,26195;490624;893576
2019-07-03;8545;1234206,696867;421309;904247
2019-07-04;8465;1226119,354539;428288;912972
