"Fecha","Reservas"
2019-01-02,65825.1
2019-01-03,65817.4
2019-01-04,65716.1
2019-01-07,65735.7
2019-01-08,65817.7
2019-01-09,65945.6
2019-01-10,66041.7
2019-01-11,66035.8
2019-01-14,65960.7
2019-01-15,66019.8
2019-01-16,66165
2019-01-17,66256.7
2019-01-18,66429.4
2019-01-21,66418.3
2019-01-22,66489.7
2019-01-23,66621
2019-01-24,66518.5
2019-01-25,66413
2019-01-28,66428.5
2019-01-29,66449
2019-01-30,66408.5
2019-01-31,66811.2
2019-02-01,66843.3
2019-02-04,66845.3
2019-02-05,66962
2019-02-06,67000.9
2019-02-07,66980.4
2019-02-08,66893.7
2019-02-11,66783.1
2019-02-12,66918.2
2019-02-13,67054.4
2019-02-14,66954.6
2019-02-15,66924.6
2019-02-18,66971.8
2019-02-19,67012.2
2019-02-20,67034.3
2019-02-21,66984.3
2019-02-22,67009.9
2019-02-25,67043.8
2019-02-26,66992.7
2019-02-27,66985.9
2019-02-28,68014.9
2019-03-01,68344.9
2019-03-06,68351.6
2019-03-07,68420.5
2019-03-08,68578.3
2019-03-11,68526.1
2019-03-12,68488.2
2019-03-13,68483
2019-03-14,68391.7
2019-03-15,68284.7
2019-03-18,68302.9
2019-03-19,68250.4
2019-03-20,68312.1
2019-03-21,68204.1
2019-03-22,68043.3
2019-03-25,67509.2
2019-03-26,67182.6
2019-03-27,66870.2
2019-03-28,66413.9
2019-03-29,66187.1
2019-04-01,66212.7
2019-04-03,66262.5
2019-04-04,66375.4
2019-04-05,66622.6
2019-04-08,66661.6
2019-04-09,77481
2019-04-10,77334
2019-04-11,77094.9
2019-04-12,76984.7
2019-04-15,76893.7
2019-04-16,76794.4
2019-04-17,76663
2019-04-22,72803
2019-04-23,72558.6
2019-04-24,72329.7
2019-04-25,72086.9
2019-04-26,71903.2
2019-04-29,71747.1
2019-04-30,71662.5
2019-05-02,71528.8
2019-05-03,71295
2019-05-06,70860.4
2019-05-07,68931.4
2019-05-08,68757.5
2019-05-09,68431.4
