"Fecha","Reservas"
2004-03-01,8.48171209306312
2004-04-01,8.9727967108739
2004-05-03,9.65416128096428
2004-06-01,10.3424284453016
2004-07-01,10.4904896507275
2004-08-02,11.0038143653096
2004-09-01,11.2899823048836
2004-10-01,11.4162535980087
2004-11-01,11.434440460026
2004-12-01,11.6253352913881
2005-01-03,11.6087831520666
2005-02-01,11.4530555599348
2005-03-01,11.3003358049054
2005-04-01,10.7047978671001
2005-05-02,10.8547159345504
2005-06-01,11.0915871258159
2005-07-01,11.3565727209586
2005-08-01,12.1585742504148
2005-09-01,12.7681510491962
2005-10-03,13.293386844054
2005-11-01,13.2774471644302
2005-12-01,13.4448853297017
2006-01-02,9.36987239030072
2006-02-01,9.32003600548697
2006-03-01,9.49524858692376
2006-04-03,9.6857978119017
2006-05-02,10.3490291718312
2006-06-01,10.8574288457336
2006-07-03,10.9838644317863
2006-08-01,11.4219558790882
2006-09-01,11.9373173379744
2006-10-02,12.2195544355673
2006-11-01,12.5395867658174
2006-12-01,12.7419401387698
2007-01-02,13.2442920266163
2007-02-01,13.3771924118737
2007-03-01,13.6530459881739
2007-04-03,13.8654386280043
2007-05-02,14.2118303218237
2007-06-01,14.7475213656443
2007-07-02,14.9791306721174
2007-08-01,15.1592648419969
2007-09-03,14.9512330161131
2007-10-01,14.7906566715524
2007-11-01,14.6287408550594
2007-12-03,14.6950078502453
2008-01-02,14.6451776028143
2008-02-01,14.5294858080292
2008-03-03,14.5264971386363
2008-04-01,14.1432751209127
2008-05-02,13.4819168075776
2008-06-02,12.4029054578539
2008-07-01,11.8124658023188
2008-08-01,11.9561684451032
2008-09-01,12.4026139485269
2008-10-01,13.1345924185035
2008-11-03,13.304481867603
2008-12-01,13.8024201815767
2009-01-02,14.133758827594
2009-02-02,14.1881928816031
2009-03-02,14.6490114396671
2009-04-01,14.4010405273128
2009-05-04,14.4824517395348
2009-06-01,14.412470078605
2009-07-01,13.8926266759112
2009-08-03,13.6162918164447
2009-09-01,13.8383225936096
2009-10-01,13.8751796961883
2009-11-02,13.8301781808539
2009-12-01,13.6360635160829
2010-01-04,13.3065649982501
2010-02-01,12.8076286578498
2010-03-01,12.3322328563914
2010-04-05,11.8827187637186
2010-05-03,11.8433931154769
2010-06-01,11.8218554245737
2010-07-01,11.638144591748
2010-08-02,11.5893781895693
2010-09-01,11.88957312545
2010-10-01,12.0012108748052
2010-11-01,11.9077564437914
2010-12-01,11.5590086010105
2011-01-03,11.2905151097177
2011-02-01,10.9434747839892
2011-03-01,10.5980548184686
2011-04-01,10.1764750596973
2011-05-02,10.0221995054407
2011-06-01,9.84035619694771
2011-07-01,9.46383630782836
2011-08-01,9.33755668147409
2011-09-01,9.33436186669382
2011-10-03,9.13855585014336
2011-11-01,8.81937498776578
2011-12-01,8.57832992851143
2012-01-03,8.58174392332253
2012-02-01,8.39160037165751
2012-03-01,8.3250311078924
2012-04-03,8.29333598258931
2012-05-02,8.31044665625959
2012-06-01,8.15951213363804
2012-07-02,7.92880293770911
2012-08-01,7.77057532017116
2012-09-03,7.90245942792334
2012-10-01,7.94257344197876
2012-11-01,7.96481376182697
2012-12-03,7.72975010718589
2013-01-02,7.43766617030898
2013-02-01,7.12444568187772
2013-03-01,6.89627377359051
2013-04-03,6.56807286291653
2013-05-02,6.35351777173102
2013-06-03,6.21392253436837
2013-07-01,5.9211545372106
2013-08-01,6.03209078086875
2013-09-02,6.0206690418438
2013-10-01,5.86805916052525
2013-11-01,5.55465700590545
2013-12-02,5.36802216269649
2014-01-02,5.58848971997374
2014-02-03,5.49805330380023
2014-03-05,5.24974371633067
2014-04-01,5.13212331206478
2014-05-05,5.12835183341494
2014-06-02,5.14679226490644
2014-07-01,5.08268568542939
2014-08-01,5.11365111213646
2014-09-01,5.14376346360353
2014-10-01,5.03076709300474
2014-11-03,5.09464006593234
2014-12-01,5.2392608573779
2015-01-02,5.32987548069523
2015-02-02,5.19757601379854
2015-03-02,5.14887953102172
2015-04-01,5.14499092440464
2015-05-04,5.37597764248959
2015-06-01,5.27992009291948
2015-07-01,5.08919447975511
2015-08-03,5.06337770302339
2015-09-01,5.09220084973433
2015-10-01,4.30195664599906
2015-11-02,4.03169832378111
2015-12-01,4.35417006801847
2016-01-04,5.27261667597279
2016-02-01,6.15551764260451
2016-03-01,5.82637544838398
2016-04-01,5.77886336584237
2016-05-02,5.61117910685267
2016-06-01,5.42919948829563
2016-07-01,5.82897429085839
2016-08-01,5.60147915883623
2016-09-01,5.52831971711218
2016-10-03,6.67516944044088
2016-11-01,6.76591616339434
2016-12-01,6.82563711952365
2017-01-02,7.2111747767305
2017-02-01,7.93190386119199
2017-03-01,8.21669707884752
2017-04-03,7.73392275386674
2017-05-02,7.45431060245693
2017-06-01,7.16450504291458
2017-07-03,7.62307045344461
2017-08-01,7.67782268390372
2017-09-01,7.98940876073947
2017-10-02,8.16912103740623
2017-11-01,8.44172890916334
2017-12-01,8.55639738106208
2018-01-02,9.70262032774114
2018-02-01,9.90013484689889
2018-03-01,9.70476193659699
2018-04-03,9.36518838360236
2018-05-02,9.51777101694804
2018-06-01,10.4338539710067
2018-07-02,11.5391615368614
2018-08-01,11.4452195470685
2018-09-03,12.9681070196195
2018-10-01,11.9024211834128
2018-11-01,12.1021588874776
2018-12-03,12.8060216202346
2019-01-02,14.5661402497285
2019-02-01,14.4945212386345
2019-03-01,15.2696925972725
2019-04-01,16.4087429513467
2019-05-02,15.4121155358514
2019-06-03,13.9203218064574
2019-07-01,13.1684013031473
2019-08-01,15.1217307514579
