"Fecha","Documentos a s/f (desdee 90 d.)","Documentos descontados (desde 90 d.)","Personales (Más de 180 días)","Prendarios (Más de 1 año)"
2019-01-31,1.62891878649924,2.14799971098587,2.38041191898535,-0.195557536228275
2019-02-28,0.669982146980685,0.737441868729238,1.36786903030797,-1.1458086967512
2019-03-31,-0.301275226329489,-0.805194138326204,0.373800978051597,-2.30899007001943
2019-04-30,0.942824591401981,0.741428736937233,1.77096434496102,-0.930962438537997
2019-05-31,1.16609206433571,1.54775020900786,2.46631726906623,-0.604737039121939
2019-06-30,1.61152655218435,2.4211866146131,2.81060227590151,-0.464545692059404
2019-07-31,2.26648679575172,2.63749911060591,3.22785716764862,0.118692428002465
2019-08-31,0.485965858637538,1.2571403937909,1.7244946079223,-1.18945490900335
2019-09-30,-0.988326070782075,-0.163537034577232,0.498340426728339,-2.72132746173914
2019-10-31,1.74246351842786,2.0732362445963,2.93485885812779,-0.315588248537302
2019-11-30,0.67827202099342,0.73662279871809,1.88605318732178,-1.04347558474533
2019-12-31,0.715345534794265,0.890456557234187,2.16362614699235,-0.734541600545502
2020-01-31,1.76973480824443,1.63281936922315,3.43309439778299,0.231881037808734
2020-02-29,1.00611127420807,1.24954279885636,3.24682493900776,0.25212705524702
2020-03-31,-0.503307385716212,-0.247687296576848,1.56584450302704,-1.0209985441625
2020-04-30,0.591245655371075,0.806359651597766,2.85897411940954,0.570719510692985
2020-05-31,0.670256787655177,0.509404973568528,2.65628428811271,0.48068143533877
2020-06-30,0.0878238125793906,0.0136544968876606,1.88011310055871,-0.189292311983136
2020-07-31,0.371127035107111,0.209257899265491,2.21790672129978,0.228878400579657
2020-08-31,-0.47073337186222,-0.564858554716152,1.50589546807047,-0.308448573838183
2020-09-30,-0.579101109656743,-0.771965725070645,1.41680455321915,-0.434047470332843
2020-10-31,-1.27148308202908,-1.54615283543301,0.430345009967836,-1.33011142120594
2020-11-30,-0.305873572060089,-0.506210192627854,1.18776518370518,-0.687967207255868
2020-12-31,-1.02773409062755,-1.10144809328019,0.569135553792788,-1.39950906052773
