"Fecha","Total","Otros","Plazos Fijos UVA","Plazos Fijos Tradicionales","Cuenta Corriente","Caja de Ahorros"
2017-01-02,1145288,38162,211,494217,275209,337489
2017-01-03,1140845,37341,210,502902,267208,333184
2017-01-04,1140947,38084,211,504186,260885,337581
2017-01-05,1152157,36321,213,506893,254640,354090
2017-01-06,1141217,36402,214,507990,246201,350410
2017-01-09,1128352,38324,201,510746,247805,331276
2017-01-10,1115805,37036,202,513639,245080,319848
2017-01-11,1113962,37804,202,510802,249248,315906
2017-01-12,1109862,35735,203,512755,247901,313268
2017-01-13,1105530,36542,205,513843,245366,309574
2017-01-16,1095611,36857,200,508813,249338,300403
2017-01-17,1094143,35213,201,514442,250442,293845
2017-01-18,1098890,35185,202,514673,256727,292103
2017-01-19,1097197,34669,203,516223,255628,290474
2017-01-20,1093808,34417,205,516601,255425,287160
2017-01-23,1085755,36703,205,512395,256497,279955
2017-01-24,1085040,35843,258,516101,255530,277308
2017-01-25,1090491,35888,258,516217,260622,277506
2017-01-26,1096115,33751,210,519604,263501,279049
2017-01-27,1103361,33919,211,523531,261983,283717
2017-01-30,1116703,39588,206,516575,268883,291451
2017-01-31,1140957,39591,208,521977,263935,315246
2017-02-01,1140586,38531,206,519836,257815,324198
2017-02-02,1144136,38538,210,526129,257296,321963
2017-02-03,1144453,39311,212,526330,249958,328642
2017-02-06,1140138,40956,201,521598,246723,330660
2017-02-07,1134733,38424,200,526442,245401,324266
2017-02-08,1128452,37515,196,527003,247513,316225
2017-02-09,1121670,37766,197,527883,243792,312032
2017-02-10,1114183,40351,198,526098,239077,308459
2017-02-13,1103594,42206,197,523688,242283,295220
2017-02-14,1101809,36478,196,529283,244226,291626
2017-02-15,1114391,38435,197,529252,252360,294147
2017-02-16,1105504,35625,198,533929,245992,289760
2017-02-17,1104997,35052,198,534039,245934,289774
2017-02-20,1104071,38291,194,530091,249885,285610
2017-02-21,1104198,37133,194,534950,248680,283241
2017-02-22,1121333,36528,194,535490,255299,293822
2017-02-23,1134089,36639,195,539894,255315,302046
2017-02-24,1165114,39356,197,542794,252282,330485
2017-03-01,1173252,43354,191,533381,252821,343505
2017-03-02,1172769,41635,192,537414,251738,341790
2017-03-03,1178259,39145,193,540966,248734,349221
2017-03-06,1169997,39848,189,537925,244363,347672
2017-03-07,1164201,39162,190,543510,241456,339883
2017-03-08,1157402,37860,412,542189,242442,334499
2017-03-09,1150387,38279,413,544161,242758,324776
2017-03-10,1142271,38183,425,545091,242446,316126
2017-03-13,1130389,40480,528,542060,243903,303418
2017-03-14,1132245,37322,568,546492,249808,298055
2017-03-15,1136616,35977,569,542887,257788,299395
2017-03-16,1128016,35400,549,546350,250385,295332
2017-03-17,1126823,35419,551,547072,253821,289960
2017-03-20,1118508,37610,547,543229,255115,282007
2017-03-21,1117425,37183,630,547437,253252,278923
2017-03-22,1117039,36959,822,546188,255416,277654
2017-03-23,1115279,36470,884,548706,251318,277901
2017-03-27,1114706,39079,881,541377,259004,274365
2017-03-28,1125017,37886,881,545876,261724,278650
2017-03-29,1131269,34903,891,549769,265576,280130
2017-03-30,1143985,36663,933,550537,268494,287358
2017-03-31,1171648,37981,946,547230,263432,322059
2017-04-03,1165743,39446,936,541089,259318,324954
2017-04-04,1167059,38390,956,546976,256282,324455
2017-04-05,1170252,36897,958,544355,255797,332245
2017-04-06,1173108,40465,960,537310,255258,339115
2017-04-07,1168266,40260,962,543146,247346,336552
2017-04-10,1158103,43290,961,540454,252461,320937
2017-04-11,1152988,42720,962,544926,251912,312468
2017-04-12,1146329,39192,965,546107,251695,308370
2017-04-17,1130268,45959,985,532109,258688,292527
2017-04-18,1124439,41154,989,538498,258705,285093
2017-04-19,1134973,39661,994,539777,266607,287934
2017-04-20,1122224,37787,999,542574,258535,282329
2017-04-21,1117578,38465,1003,543588,255006,279516
2017-04-24,1115060,38515,1008,541928,259489,274120
2017-04-25,1119869,37405,1022,546678,261907,272857
2017-04-26,1129692,39136,1033,544189,263182,282152
2017-04-27,1151895,40272,1037,546603,268206,295777
2017-04-28,1179415,39288,1044,550737,258633,329713
2017-05-02,1177675,41295,1133,544269,261170,329808
2017-05-03,1170840,39964,1141,543683,258267,327785
2017-05-04,1177366,40943,1148,545875,259527,329873
2017-05-05,1181096,40406,1091,546302,246263,347034
2017-05-08,1167161,42001,1182,542877,253208,327893
2017-05-09,1165446,41368,1186,547705,251979,323208
2017-05-10,1156681,41175,1110,546739,253135,314522
2017-05-11,1152630,39610,1117,547977,254197,309729
2017-05-12,1152689,39279,1130,547605,256517,308158
