Fecha;Pases Pasivos;LELIQ;Cta. Cte. en BCRA;Circulante
2020-01-02;470013;761688,715402;718409;1158878
2020-01-03;524925;763028,835761;676805;1157812
2020-01-06;633044;764862,097981;565586;1155605
2020-01-07;680111;766837,88332;527732;1153104
2020-01-08;727163;768202,947213;492604;1150008
2020-01-09;748656;769722,96829;479627;1148807
2020-01-10;777494;771003,356394;460008;1146482
2020-01-13;754874;772754,905889;483620;1144649
2020-01-14;769119;774642,625919;470351;1140886
2020-01-15;791779;775946,845767;458532;1136796
2020-01-16;798715;777399,116;458861;1132603
2020-01-17;814462;778642,535785;454246;1129595
2020-01-20;774965;780343,513239;499396;1127942
2020-01-21;190990;1289165,34182;589694;1125218
2020-01-22;337177;1157080,942868;581539;1122048
2020-01-23;41709;1571872,535304;477025;1120258
2020-01-24;90141;1440958,267858;560688;1118420
2020-01-27;34961;1261869,741234;788564;1118199
2020-01-28;8972;1413907,086783;672561;1118777
2020-01-29;47867;1413907,086783;628453;1120876
2020-01-30;50505;1472838,107194;571950;1125821
2020-01-31;36086;1472838,107194;578476;1130395
2020-02-03;5595;1472838,107194;611467;1132285
2020-02-04;4551;1403625,130518;677547;1136072
2020-02-05;4439;1403625,130518;675597;1138320
2020-02-06;3805;1341272,086465;743168;1144057
2020-02-07;2744;1341272,086465;754879;1147152
2020-02-10;4025;1341272,086465;756269;1150388
2020-02-11;3880;1320868,004576;782094;1148652
2020-02-12;3661;1320868,004576;781826;1146436
2020-02-13;2672;1317678,12068;813965;1143423
2020-02-14;5659;1317678,12068;814321;1140644
2020-02-17;2338;1317678,12068;826348;1139830
2020-02-18;4060;1345640,775131;803084;1138218
2020-02-19;2825;1345640,775131;805120;1136784
2020-02-20;4317;1434840,013486;749364;1138611
2020-02-21;40675;1434840,013486;713694;1141783
2020-02-26;42607;1506462,139018;661951;1145091
2020-02-27;57531;1589614,11721;569522;1146837
2020-02-28;67202;1589614,11721;568090;1148044
2020-03-02;3647;1589614,11721;663650;1150464
2020-03-03;3428;1697204,968354;587793;1150696
2020-03-04;1462;1697204,968354;551219;1152334
2020-03-05;1653;1705519,053943;545565;1157894
2020-03-06;1033;1705519,053943;560383;1159947
2020-03-09;1466;1705519,053943;563614;1163630
2020-03-10;728;1649079,692216;622309;1164306
2020-03-11;1431;1649079,692216;641829;1162438
2020-03-12;1581;1592269,576112;699195;1160461
2020-03-13;1504;1592269,576112;696649;1159559
2020-03-16;1240;1592269,576112;698173;1158749
2020-03-17;1610;1532269,576112;757353;1160739
2020-03-18;1603;1532269,576112;753810;1166179
2020-03-19;3131;1449512,948717;852644;1172747
2020-03-20;726;1449512,948717;834467;1189932
2020-03-25;4307;1316462,948717;991708;1214180
2020-03-26;12380;1269462,948717;1088410;1224686
2020-03-27;112943;1269462,948717;985717;1228879
2020-03-30;44515;1269462,948717;1058760;1233323
2020-04-01;49940;1169462,948717;1145209;1247701
2020-04-02;61853;1169462,948717;1157964;1275423
2020-04-03;99365;1137349,928989;1139503;1293992
2020-04-06;125910;1137349,928989;1103790;1308417
2020-04-07;157358;1129193,372605;1124938;1324520
2020-04-08;170731;1119193,372605;1107808;1334131
2020-04-13;172656;1119193,372605;1098716;1339894
2020-04-14;20558;1299193,372605;1097358;1343329
2020-04-15;22024;1299193,372605;1094526;1344304
2020-04-16;9447;1316472,651781;1080979;1345054
2020-04-17;523948;1316472,651781;587612;1344268
2020-04-20;533708;1316472,651781;584066;1341943
2020-04-21;568448;1318477,051781;560893;1339390
2020-04-22;620416;1318477,051781;535795;1338004
2020-04-23;636485;1317366,545027;520672;1337450
2020-04-24;692516;1317366,545027;460684;1339445
2020-04-27;641386;1317366,545027;522231;1344268
2020-04-28;740376;1286338,685021;474557;1356394
2020-04-29;783621;1286338,685021;414315;1365743
2020-04-30;839026;1187699,34293;492924;1374204
2020-05-04;329776;1187699,34293;1027497;1383801
2020-05-05;314243;1220559,288181;1066421;1393929
2020-05-06;410754;1220559,288181;954812;1401854
2020-05-07;470244;1219042,106393;889233;1411828
2020-05-08;472254;1219042,106393;865225;1420556
2020-05-11;455270;1219042,106393;937807;1425407
2020-05-12;455229,1;1199697,382902;962828;1427765
2020-05-13;568176;1199697,382902;896494;1430220
2020-05-14;548237;1202556,528655;910992;1432810
2020-05-15;381618;1202556,528655;1070328;1434478
2020-05-18;628083;1202556,528655;820180;1435816
2020-05-19;716992;1337775,653368;601526;1437685
2020-05-20;812329;1337775,653368;553934;1439695
2020-05-21;747393;1337886,160122;554519;1445973
2020-05-22;752238;1337886,160122;536607;1450788
2020-05-26;717559;1337914,020128;570666;1455738
2020-05-27;760758;1337914,020128;526179;1457541
