Fecha;Pases Pasivos;LELIQ;Cta. Cte. en BCRA;Circulante;LEBAC
2009-10-01;0,905842580363546;NA;1,91803363470885;6,47435322340386;3,16570498330841
2009-11-02;0,793077008021923;NA;1,88593112511178;6,4953829989517;3,50672686441901
2009-12-01;0,539359092128719;NA;1,82768495541011;6,60823610107951;3,73732155437765
2010-01-04;0,692527505420703;NA;1,83545047053441;6,54650086664522;3,61666446186415
2010-02-01;1,05416021915161;NA;1,8246660461775;6,47067953362096;3,39507758108272
2010-03-01;0,959710453942486;NA;1,8549736703444;6,37442522616247;3,44387956333966
2010-04-05;0,945822068243954;NA;1,82961299952605;6,18540709757739;3,49461196385905
2010-05-03;0,941684352576719;NA;1,84048934011993;6,18679823433136;3,45784155827502
2010-06-01;0,956080841291611;NA;1,81555869874929;6,11193086077478;3,47002713239274
2010-07-01;1,00861347878506;NA;1,86178597873926;6,12412169383086;3,37398790714579
2010-08-02;0,845456098317015;NA;1,84444238470209;6,1882590920383;3,63450964497641
2010-09-01;0,808226849223892;NA;1,85168986525125;6,25954053231762;3,89781607996694
2010-10-01;0,747417012411629;NA;1,81182686321484;6,42747317258651;4,09130487750643
2010-11-01;0,722856735091885;NA;1,78010757442474;6,46504950676188;4,1526032554616
2010-12-01;0,547867469213814;NA;1,87814977175144;6,33489911672507;4,37819671701846
2011-01-03;0,512855279710225;NA;1,89247356835686;6,47994956751407;4,42915994988718
2011-02-01;0,519795865336866;NA;1,87084801855387;6,57772337793561;4,35584546952611
2011-03-01;0,704669814814616;NA;1,84223857529974;6,60160654813755;4,37701506713191
2011-04-01;0,637974261136121;NA;1,88172192227439;6,5343223981844;4,35551523163539
2011-05-02;0,603238079614915;NA;1,92740066878769;6,46197242393889;4,16589420532441
2011-06-01;0,481418915328757;NA;1,86772326653838;6,46384737911954;4,12338894120313
2011-07-01;0,342395829193105;NA;1,8843840629291;6,49893016256268;3,76059346706859
2011-08-01;0,574422650682286;NA;1,87323988696826;6,59943524599146;3,5222295470165
2011-09-01;0,499004102034571;NA;1,86111647306889;6,66903710789238;3,41225361773108
2011-10-03;0,455155380673256;NA;1,88886754246187;6,65472412458147;3,34907908308289
2011-11-01;0,432439095487311;NA;1,83841839729644;6,77736967843043;3,18311595194327
2011-12-01;0,548213087235213;NA;1,84136177477392;6,84539981543101;3,10116875314853
2012-01-03;0,552021108854546;NA;2,07717456957356;6,8496366609443;3,28468510169351
2012-02-01;0,982158988080912;NA;1,70949984948438;6,9142190178921;3,37500417398205
2012-03-01;0,900271239310719;NA;1,98212543312702;6,96777113275651;3,41052508083941
2012-04-03;0,938093105525415;NA;2,03743676686386;7,02702284797108;3,38326802191899
2012-05-02;1,05184418338953;NA;2,06042827837535;7,06709814361981;3,4077874911048
2012-06-01;0,800788616300645;NA;2,13758022310598;7,26992528849098;3,39611272801741
2012-07-02;0,80163970215346;NA;2,22035437208732;7,36312860351201;3,12305257534191
2012-08-01;0,741327184756343;NA;2,26074892370026;7,44635602258775;3,13584281582167
2012-09-03;0,671071307748824;NA;2,24389170752789;7,50471495009957;3,19104361482823
2012-10-01;0,659648036660091;NA;2,24430778422477;7,50627573424957;3,23492900677091
2012-11-01;0,667363902821106;NA;2,23237027476786;7,58576774793992;3,24569918385058
2012-12-03;0,6113241088696;NA;2,30460657250273;7,60489692835457;3,33655471656915
2013-01-02;0,602973759398417;NA;2,27245727145389;7,62603954208379;3,46675100279632
2013-02-01;0,560029709978929;NA;2,20578522806051;7,67013727282167;3,70355232575159
2013-03-01;0,44684421024343;NA;2,29599847208702;7,66091355862723;3,72411437499462
2013-04-03;0,4335206473717;NA;2,26763421948926;7,5268564704634;3,52266515683901
