Fecha;Pases y Leliq;Otros;Compras de divisas;Intereses;Financiamiento del Tesoro;Total
2021-01-04;139301,019827223;-1556,59057416013;381,576000000001;9055,32510258674;9307,66964435;156489
2021-01-05;128056,375325266;-5174,41040982013;763,026000000001;16741,9554846947;8638,05359986;149025
2021-01-06;170473,90053779;-9686,68679978014;1060,176;19588,9146279197;7326,69563407;188763
2021-01-07;194229,010522008;-13995,0837110201;1315,146;25331,8330130127;6850,094176;213731
2021-01-08;87564,7480983595;-18858,1502737401;1323,557;25415,5228423207;8106,32233306;103552
2021-01-11;94223,9240556785;-22324,1626538601;18072,271;27155,6538396717;7551,31375851;124679
2021-01-12;89115,6160360235;-25064,0625763401;22537,456;35175,5297637367;8689,46077658;130454
2021-01-13;142342,243485554;-27220,5552328001;27584,546;37367,9133662857;8229,85238096;188304
2021-01-14;100380,739776599;-28792,6170172601;36687,841;43452,3561844217;9210,68005624;160939
2021-01-15;63982,0555418425;-30238,3188391001;42868,774;44572,8490998577;8134,6401974;129320
2021-01-18;83389,5361399555;-31210,5967936201;43475,513;46360,7801946446;-47246,23254098;94769
2021-01-19;83941,8324982785;-33134,4485715601;39883,8674;56321,1431410217;-46739,39446774;100273
2021-01-20;123267,750063444;-36200,0856672701;33891,7954;58001,9522265367;-46876,41202271;132085
2021-01-21;123988,503919813;-38480,4638740902;34956,1574;62094,0217806776;-46402,2192264;136156
2021-01-22;138944,003210827;-39881,3239782601;28506,6024;63427,7871933937;-43267,06882596;147730
2021-01-25;143687,122406978;-41134,8526448301;29603,6964;65140,3641182027;-44779,33028035;152517
2021-01-26;121208,658076685;-42390,7441567001;21775,4614;73259,0721018656;-43828,44742185;130024
2021-01-27;86676,0083091945;-44158,9768691701;19597,4164;74580,3315114857;-43411,77935151;93283
2021-01-28;105047,984135699;-45846,5641809502;19946,1014;81845,2801391117;-38304,80149386;122688
2021-01-29;14765,2279690265;-46881,6120415901;12975,1164;83114,6355315636;-52923,367859;11050
2021-02-01;134016,54694804;-49631,1431569101;-13093,4576;84975,2989844106;-22149,24517554;134118
2021-02-02;125747,08963789;-50829,9332438401;-9892,5076;93679,0668230306;-22759,71561708;135944
2021-02-03;129018,209912999;-52468,6391477401;-8160,5826;95100,0169545816;-23004,00511984;140485
2021-02-04;109719,708688177;-54196,5463137601;-4807,2076;101189,018792734;-22720,97356715;129184
2021-02-05;171560,669652258;-55561,4503849501;-3132,0916;102830,582951563;-99577,71061887;116120
2021-02-08;172001,753285732;-57035,1806515201;6091,1204;104144,615434729;-61026,30846894;164176
