Fecha;Variacion;sma30
2010-08-31;41,4173924230395;39,1831728968538
2010-09-01;41,4704325732014;39,3373417548371
2010-09-02;41,1482158889318;39,4702156614456
2010-09-03;41,0706811545343;39,6003095814667
2010-09-07;41,155044994037;39,7124614895239
2010-09-08;41,2025767389673;39,8178291082701
2010-09-09;41,484670625652;39,9284254425147
2010-09-10;41,7423138523636;39,9722895103804
2010-09-14;42,2136750299758;40,0297836474823
2010-09-15;42,0656101988633;40,0731034561281
2010-09-16;42,0208245688752;40,1538390225294
2010-09-17;42,0253209765741;40,2935931190876
2010-09-21;41,7527221297101;40,4233081853942
2010-09-22;41,7016132680943;40,5030600825795
2010-09-23;41,4931408039411;40,5707645961306
2010-09-24;41,726805997728;40,6316950681584
2010-09-28;41,8177544144151;40,6803851229969
2010-09-29;42,3767923062546;40,7575971787991
2010-09-30;41,80480633422;40,8213684010338
2010-10-01;41,2719309567624;40,8876128634441
2010-10-05;43,0497593888714;41,0122238554308
2010-10-06;42,6439398768949;41,1281517839594
2010-10-07;42,6994139035241;41,2473571709055
2010-10-08;42,8496173529186;41,3624508242376
2010-10-13;43,396097341172;41,4953870730245
2010-10-14;43,3412106489785;41,6260695496916
2010-10-15;42,8240539956494;41,7424831504187
2010-10-19;42,3310038794148;41,8365546511994
2010-10-20;41,9992991203779;41,9216573614937
2010-10-21;41,27820191806;41,9791640887334
2010-10-22;40,8565433452022;41,9604691194722
2010-10-26;41,6451544815958;41,9662931830853
2010-10-28;41,4953157736853;41,9778631792438
2010-10-29;40,6621267968056;41,9642447006528
2010-11-02;39,9738772183804;41,9248724414643
2010-11-03;40,2306468331507;41,892474777937
2010-11-04;39,8393339419446;41,8376302218135
2010-11-05;39,9353655717017;41,7773986124581
2010-11-09;39,5790977374619;41,6895793693743
2010-11-10;39,5974436721841;41,6073071518183
2010-11-11;39,3967213689534;41,5198370451542
2010-11-12;39,3827844091743;41,4317524929076
2010-11-16;39,4799152009142;41,3559922619477
2010-11-17;39,7293568386965;41,2902503809678
2010-11-18;39,4135813018788;41,220931730899
2010-11-19;39,115760216636;41,1338968715293
2010-11-23;40,7811034424703;41,0993418391311
2010-11-24;40,5036959154332;41,0369052927704
2010-11-25;40,2807650337101;40,9861039160868
2010-11-26;38,9723366711351;40,9094507732325
2010-11-30;38,4259741960159;40,7553246001373
2010-12-01;40,0708086814108;40,6695535602879
2010-12-02;40,4471981738721;40,5944797026328
2010-12-03;40,9425597711806;40,5309111165749
2010-12-07;41,0320386210804;40,4521091592385
2010-12-09;40,6089486385252;40,36103375889
2010-12-10;40,7252387288762;40,2910732499976
2010-12-14;36,9725974531874;40,1124597024567
2010-12-15;36,7938081291094;39,9389433360811
