"Fecha","Total","Otros","Prendarios","Hipotecarios","Adelantos","Personales","Documentos","Tarjetas"
2017-01-02,914061,38726,53538,61154,103505,221398,199492,236248
2017-01-03,913501,38849,53628,61207,104046,221669,195953,238149
2017-01-04,909582,39006,53699,61269,102192,221938,195319,236159
2017-01-05,910268,39019,53607,61362,104365,222266,196450,233199
2017-01-06,908070,38858,53723,61418,101898,222633,197358,232182
2017-01-09,908412,38876,53786,61463,106475,222811,197320,227681
2017-01-10,908855,38799,53739,61448,106716,222927,197087,228139
2017-01-11,907764,38795,53854,61526,106884,223432,196775,226498
2017-01-12,907047,38712,53986,61694,107956,223910,197226,223563
2017-01-13,907022,38538,54119,61832,108117,224457,198335,221624
2017-01-16,912138,38683,54188,61754,112496,225051,198532,221434
2017-01-17,910021,38452,54333,61783,109592,225605,196516,223740
2017-01-18,909424,38092,54558,61909,107227,226179,196381,225078
2017-01-19,909603,37821,54742,61972,104654,226529,196895,226990
2017-01-20,911414,37498,54977,62042,104069,227106,197924,227798
2017-01-23,913833,37519,54993,62053,104788,227685,197629,229166
2017-01-24,918429,37193,55200,62082,106035,228506,196116,233297
2017-01-25,921122,36847,55445,62215,105435,229057,196098,236025
2017-01-26,924344,36747,55571,62334,104798,229578,196389,238927
2017-01-27,925993,36653,55770,62440,103516,230099,196957,240558
2017-01-30,930291,36812,55869,62556,105715,230254,196881,242204
2017-01-31,929870,37660,56033,62884,104237,230004,195319,243733
2017-02-01,928497,37855,56300,62781,105489,230646,193827,241599
2017-02-02,928185,38097,56488,62883,106693,230813,193975,239236
2017-02-03,926048,37739,56637,62985,105634,231125,194857,237071
2017-02-06,925850,37878,56452,62985,108714,230852,195377,233592
2017-02-07,927000,37606,56563,63045,109938,231178,195257,233413
2017-02-08,925540,37834,56669,63120,109309,231725,195745,231138
2017-02-09,922726,37313,56808,63201,110443,232222,196722,226017
2017-02-10,923360,38062,56338,63227,112481,232442,198193,222617
2017-02-13,926912,38048,56439,63243,115683,232779,198590,222130
2017-02-14,927072,37725,56555,63311,113674,233863,198352,223592
2017-02-15,928254,37534,56639,63376,113153,234439,198825,224288
2017-02-16,929241,37461,56768,63548,112055,235123,199070,225216
2017-02-17,929381,37252,56973,63589,110817,235591,198857,226302
2017-02-20,932367,36775,57078,63716,111504,236162,199075,228057
2017-02-21,934093,36391,57116,63728,111801,236732,197961,230364
2017-02-22,936198,36496,57262,63881,111096,237646,197742,232075
2017-02-23,941360,36259,57531,64041,112816,237813,198709,234191
2017-02-24,943674,37294,57841,64320,109407,237904,200002,236906
2017-03-01,946206,38193,57752,64233,112334,238212,199057,236425
2017-03-02,947240,38243,57832,64298,113789,238602,194394,240082
2017-03-03,944843,38174,57961,64494,109448,238961,194045,241760
2017-03-06,946086,37825,57757,64523,111147,238858,194613,241363
2017-03-07,946871,37928,57814,64594,110901,239292,194650,241692
2017-03-08,947485,37715,57942,64751,111402,239985,195484,240206
2017-03-09,944641,37967,58035,64884,109035,240667,196608,237445
2017-03-10,945949,38165,57956,64948,110407,241064,197950,235459
2017-03-13,944019,38164,58009,64991,112921,241587,197969,230378
2017-03-14,945071,38058,58124,65096,113161,242347,196987,231298
2017-03-15,942524,37155,58270,65176,112336,243218,197304,229065
2017-03-16,937537,36939,58433,65279,110331,243919,197521,225115
2017-03-17,933847,36838,58604,65367,107921,244689,197836,222592
2017-03-20,935523,37075,58675,65416,108373,245392,197622,222970
2017-03-21,937610,36958,58753,65523,107944,246014,196870,225548
2017-03-22,939358,36799,58860,65623,106857,247225,197153,226841
2017-03-23,943872,37215,59086,65769,107407,247771,198442,228182
2017-03-27,943039,37227,59217,65830,103211,248404,199423,229727
2017-03-28,946774,37313,59393,65958,102573,249014,197967,234556
2017-03-29,953031,37505,59624,66119,104197,249655,198091,237840
2017-03-30,957865,37940,59874,66263,103452,250013,200156,240167
2017-03-31,959348,38855,60248,66544,100921,249809,201752,241219
2017-04-03,960483,38474,60309,66527,104991,250458,200460,239264
2017-04-04,961134,38598,60512,66613,103875,251086,199133,241317
2017-04-05,959624,38531,60388,66765,102274,251609,200318,239739
2017-04-06,959074,38403,60398,66742,104111,251450,200189,237781
2017-04-07,955606,38638,60565,66901,100834,251795,201903,234970
2017-04-10,956840,38710,60480,66930,105446,252019,202501,230754
2017-04-11,957334,38805,60654,67020,105953,252729,201849,230324
2017-04-12,959146,38673,60783,67214,107169,253548,203131,228628
2017-04-17,957338,38982,60773,67192,110247,254187,203705,222252
2017-04-18,956850,38865,60896,67403,108980,254937,201152,224617
2017-04-19,956977,38840,61019,67501,107669,255832,200808,225308
2017-04-20,958874,38496,61134,67599,105809,256319,201996,227521
2017-04-21,959922,38375,61200,67846,104278,256966,202587,228670
2017-04-24,963639,38421,61304,67940,103036,258071,202680,232187
2017-04-25,969299,38325,61466,68051,105843,258687,201995,234932
2017-04-26,971805,38011,61636,68213,103830,259257,202572,238286
2017-04-27,975656,38976,61826,68363,103721,259909,203752,239109
2017-04-28,978029,39023,62284,68719,103376,259517,205629,239481
2017-05-02,981256,39191,62405,68645,106808,259857,205189,239161
2017-05-03,978886,39271,62542,68751,106099,260218,201844,240161
2017-05-04,973979,39180,62697,68884,103985,260558,201760,236915
2017-05-05,975532,39097,62550,69106,106375,260403,203134,234867
2017-05-08,974324,38935,62686,69252,107889,260483,203523,231556
2017-05-09,976942,39469,62818,69373,109936,261320,203565,230461
2017-05-10,975597,39942,62796,69424,109652,261779,204636,227368
2017-05-11,975213,39972,62976,69594,109926,262364,204968,225413
2017-05-12,972664,40605,63106,69759,108915,263042,206104,221133
2017-05-15,973489,40227,63188,69950,109793,263567,206177,220587
2017-05-16,974362,40519,63362,70124,108675,264222,204871,222589
2017-05-17,975346,40487,63511,70277,106906,264715,204951,224499
2017-05-18,974539,40644,63654,70632,102024,265531,205957,226097
2017-05-19,977650,40619,63928,70951,100126,266337,207524,228165
2017-05-22,986127,40774,64068,71011,104809,267018,207647,230800
2017-05-23,987593,40797,64091,71130,104892,268068,206055,232560
2017-05-24,989693,41235,64227,71318,101027,268524,206575,236787
2017-05-26,993264,41455,64391,71465,101176,269105,207485,238187
2017-05-29,996311,41629,64614,71527,100779,269588,207402,240772
2017-05-30,1000275,41585,64872,71641,101036,269901,206859,244381
2017-05-31,997774,41112,66458,72006,96834,269832,206604,244928
2017-06-01,1001010,41515,66395,72018,98353,270560,205307,246862
2017-06-02,1001982,41725,66528,72116,97764,270803,205382,247664
2017-06-05,1001273,41774,66434,72193,98811,270477,205775,245809
2017-06-06,1001627,41655,66576,72275,100805,270313,205593,244410
2017-06-07,1003048,41620,66741,72420,101106,270926,206915,243320
2017-06-08,1002090,41861,66910,72617,100494,271399,208350,240459
2017-06-09,1005631,42436,67283,72833,104663,271529,210010,236877
2017-06-12,1004751,42295,67021,72933,105280,272160,210663,234399
2017-06-13,1006961,42705,67169,73071,106902,272606,209390,235118
2017-06-14,1006837,42691,67349,73433,106498,273328,209885,233653
2017-06-15,1003654,42365,67518,73691,105320,273547,211309,229904
2017-06-16,1003551,42420,67505,73931,104712,274352,212104,228527
2017-06-19,1006188,42725,67818,74033,104927,274798,212157,229730
2017-06-21,1010219,43241,67941,74183,105206,275413,211785,232450
2017-06-22,1011990,43581,67941,74317,103183,276199,211686,235083
2017-06-23,1015568,43295,68150,74505,101799,276678,212952,238189
2017-06-26,1018619,42828,68271,74633,102419,276883,214181,239404
2017-06-27,1022123,42627,68448,74875,100914,277480,214805,242974
2017-06-28,1025626,42602,68690,75193,99806,277904,216068,245363
2017-06-29,1034600,43493,69587,75563,99732,278115,219735,248375
2017-06-30,1036796,44857,69346,75872,97448,277470,223293,248510
2017-07-03,1033610,44709,68673,74801,104315,277454,219429,244229
2017-07-04,1036554,45163,69444,76309,103264,277834,219023,245517
2017-07-05,1033459,44485,69145,76425,103531,278060,219668,242145
2017-07-06,1032490,44687,69385,76683,104624,277991,221269,237851
2017-07-07,1033458,45519,69523,76939,104570,278597,223425,234885
2017-07-10,1034271,45665,69384,77125,109981,278599,223852,229665
2017-07-11,1034850,45385,69458,77259,109745,279184,223673,230146
2017-07-12,1035244,45672,69615,77454,110570,279660,224403,227870
2017-07-13,1032815,45704,69823,77743,110004,280289,225382,223870
2017-07-14,1032786,46005,69912,78107,108736,280893,226880,222253
2017-07-17,1035574,45984,70071,78273,110242,281353,226955,222696
2017-07-18,1037263,46367,70174,78427,108724,281975,225502,226094
2017-07-19,1038305,46212,70356,78640,106533,282683,225756,228125
2017-07-20,1041000,46030,70600,78910,105095,283007,226937,230421
2017-07-21,1042473,45482,70587,79149,103395,283391,228381,232088
2017-07-24,1048854,45224,70669,79297,106499,284190,228036,234939
2017-07-25,1051283,45314,70869,79730,106176,284782,227088,237324
2017-07-26,1054731,45104,71024,79944,105330,285313,227528,240488
2017-07-27,1058084,44880,71183,80133,105381,285799,228304,242404
2017-07-28,1061797,45956,71359,80652,103924,285913,229497,244496
2017-07-31,1063476,45825,71667,81013,102526,285724,230350,246371
2017-08-01,1065689,46087,72041,81422,106038,286867,227686,245548
2017-08-02,1063495,46673,72212,81639,104888,286918,227100,244065
2017-08-03,1062242,46486,72371,81903,105163,287384,228095,240840
2017-08-04,1062922,46509,72498,81996,105589,287419,230611,238300
2017-08-07,1062014,46383,72293,82218,106940,287553,231319,235308
2017-08-08,1064048,46358,72478,82418,108249,288182,231135,235228
2017-08-09,1061942,46321,72656,82692,108127,288852,232169,231125
2017-08-10,1060378,46280,72847,83052,109173,289491,233871,225664
2017-08-11,1062699,46424,72844,83449,110514,290031,235537,223900
2017-08-14,1065851,46596,72959,83773,111769,290585,235583,224586
2017-08-15,1066641,46285,73096,84012,111207,291321,234319,226401
2017-08-16,1072093,46247,73238,84328,113323,292078,234484,228395
2017-08-17,1071540,46255,73417,84702,108937,292796,235548,229885
2017-08-18,1073905,45876,73608,85150,106495,293844,237308,231624
2017-08-22,1080622,45415,73719,85332,109639,294333,237433,234751
2017-08-23,1086420,45152,73829,85621,111543,295618,237153,237504
2017-08-24,1087949,44825,74051,86006,108532,295987,237473,241075
2017-08-25,1091299,44580,74612,86443,106557,296777,239080,243250
2017-08-28,1096767,44600,74811,86661,105586,297387,239319,248403
2017-08-29,1100277,44658,75101,86958,105249,297992,238634,251685
2017-08-30,1105087,45101,75362,87439,104062,298458,240112,254553
2017-08-31,1110394,44894,76600,88092,103437,298004,241642,257725
2017-09-01,1111180,45062,76702,88453,104409,298781,241050,256723
2017-09-04,1110094,45014,76391,88753,105067,299271,240224,255374
2017-09-05,1110342,44924,76404,89347,105596,299712,240310,254049
2017-09-06,1109855,45045,76535,89726,107318,299957,241527,249747
2017-09-07,1111453,44908,76727,90141,107376,300491,243191,248619
2017-09-08,1113824,44882,76924,90620,107650,301312,245254,247182
2017-09-11,1114350,45707,76858,90863,111149,301778,246118,241877
2017-09-12,1117928,45851,76979,91145,113399,302480,245371,242703
2017-09-13,1118079,45780,77159,91482,113632,303334,245862,240830
2017-09-14,1115676,45677,77332,91945,113657,304207,247231,235627
