"Fecha","Pases Pasivos","LELIQ","LEBAC"
2004-05-28,9296.17727679067,NA,730991.712698869
2004-06-01,28135.5221344282,NA,738296.052304005
2004-07-01,193754.76553656,NA,744441.983420785
2004-08-02,209092.050780336,NA,752456.457379395
2004-09-01,249134.759247634,NA,742873.240433697
2004-10-01,297756.608347919,NA,737438.342284909
2004-11-01,307857.00004933,NA,765004.607181794
2004-12-01,290806.637404244,NA,762069.301786869
2005-01-03,396237.833558965,NA,788172.165254413
2005-02-01,366275.673352699,NA,817278.762521753
2005-03-01,265298.552601606,NA,858368.255731617
2005-04-01,269130.962833117,NA,891557.637002984
2005-05-02,257826.561799495,NA,935488.815735232
2005-06-01,280540.289364978,NA,1094183.79907468
2005-07-01,238225.77824428,NA,1148216.85491428
2005-08-01,346971.994540345,NA,1193497.13699971
2005-09-01,362825.769347596,NA,1247788.05602789
2005-10-03,231663.212103394,NA,1282984.93280094
2005-11-01,230747.141654569,NA,1256749.71953888
2005-12-01,265702.27027306,NA,1221846.81369075
2006-01-02,180922.305652396,NA,1178209.97438418
2006-02-01,198558.825605883,NA,1180441.60182978
2006-03-01,143047.137893576,NA,1267314.22283981
2006-04-03,150924.317651746,NA,1279762.96541431
2006-05-02,252183.414269851,NA,1335905.35020146
2006-06-01,257071.358069055,NA,1390994.44406267
2006-07-03,215903.121665662,NA,1482187.73943125
2006-08-01,227145.901288668,NA,1566425.14954492
2006-09-01,133526.264510627,NA,1658896.50703554
2006-10-02,142662.892398281,NA,1690059.14653053
2006-11-01,148333.365318727,NA,1755486.09299615
2006-12-01,75130.7287429156,NA,1737804.374612
2007-01-02,173153.577154744,NA,1774010.58768706
2007-02-01,228093.218461467,NA,1920215.27038653
2007-03-01,167420.782006646,NA,2026579.60549512
2007-04-03,225321.79580872,NA,2105073.772283
2007-05-02,225853.844320688,NA,2231464.85993081
2007-06-01,129417.440193561,NA,2340481.56643965
2007-07-02,96989.0752616669,NA,2344627.82780975
2007-08-01,98215.3338731678,NA,2250135.8058799
2007-09-03,126318.384459122,NA,2150086.84791115
2007-10-01,96390.8650679836,NA,2067028.57380288
