"Fecha","LELIQ","Pases Pasivos 1 día","Pases Pasivos 7 días"
2019-01-02,1.76896490172669,0.827182611691568,NA
2019-02-01,0.143771288665961,-0.605831879750385,NA
2019-03-01,0.439622160501441,-0.42252179975889,NA
2019-04-01,2.11918238214222,1.52471452025111,NA
2019-05-02,2.76799119631377,2.22210443779656,NA
2019-06-03,2.70720848032098,2.23240462889738,NA
2019-07-01,2.65240980517301,2.20721034450642,NA
2019-08-01,1.84111535312401,1.09095031598601,NA
2019-09-02,0.938477293089157,0.144718871981819,NA
2019-10-01,2.40315158623168,1.81582857068576,NA
2019-11-01,0.936865886865768,0.400406562117461,NA
2019-12-02,1.2614171052918,0.737962298551675,NA
2020-01-02,1.96777524835501,1.15332234747014,NA
2020-02-03,1.69205975036955,-0.126544991503141,NA
2020-03-02,-0.159603835216726,-2.01144679638744,NA
2020-04-01,1.60590426567266,-0.469482101316465,NA
2020-05-04,1.55971188767627,-0.133932313786478,NA
2020-06-01,0.863596103729392,-0.655347670523776,NA
2020-07-01,1.16969162126059,-0.353861763383645,NA
2020-08-03,0.415189447279096,-1.09700159828444,NA
2020-09-01,0.282965193331663,-1.22723463622236,NA
2020-10-01,-0.698394928193835,-1.41655189030878,-0.961263785270372
2020-11-02,-0.116215482128468,-0.515074627452949,-0.189822857759525
2020-12-01,-0.845201830275888,-1.29004629815224,-0.933491301508527
2021-01-04,-0.839893865749086,-1.28476214708378,-0.928188063302493
2021-02-01,-0.839893865749086,-1.28476214708378,-0.928188063302493
