Fecha;Caja de Ahorros;Circulante en poder del público;Cta. Cte.
2015-01-02;190843;315594,26494774;311415
2015-01-05;187329;316126,90298082;304422
2015-01-06;187953;315784,43259245;297690
2015-01-07;192732;316369,5337145;286238
2015-01-08;192782;317316,78349164;285111
2015-01-09;190070;317903,37466383;288161
2015-01-12;181094;317120,10390822;294287
2015-01-13;177117;314079,68984541;293787
2015-01-14;176787;312768,98879335;296796
2015-01-15;174275;311810,72404681;296758
2015-01-16;173657;311088,37191577;288738
2015-01-19;170257;309788,13021764;292938
2015-01-20;169804;308227,23458672;296008
2015-01-21;169297;307584,54098688;300420
2015-01-22;168601;307512,05018846;299503
2015-01-23;168165;307360,98209358;300610
2015-01-26;164589;306168,17607816;307163
2015-01-27;164487;305126,9080098;305602
2015-01-28;168453;305000,44079258;306411
2015-01-29;174081;305781,95186655;270670
2015-01-30;189159;307968,43016501;255389
2015-02-02;190412;310321,88767104;248470
2015-02-03;187541;310866,01959996;243460
2015-02-04;189295;312170,02506754;248595
2015-02-05;196869;314151,66680917;239247
2015-02-06;195256;316623,63436571;234573
2015-02-09;188077;317952,49811696;235205
2015-02-10;181195;315938,4498685;242612
2015-02-11;177202;314120,66610249;251927
2015-02-12;176314;313165,92276444;252315
2015-02-13;174905;312692,69432965;247887
2015-02-18;169588;310620,3360878;256072
2015-02-19;167309;307967,95947313;256074
2015-02-20;167992;307100,49822247;261011
2015-02-23;162533;306424,52918545;267138
2015-02-24;162006;305428,64138482;267652
2015-02-25;164735;305172,48880663;269725
2015-02-26;173456;305605,50791628;266557
2015-02-27;190490;307779,16737693;251990
2015-03-02;190754;310399,1802117;266606
2015-03-03;189444;310574,40069012;261540
2015-03-04;190168;312000,03844344;256544
2015-03-05;196540;314293,55142852;245317
2015-03-06;195795;317297,11881552;234752
2015-03-09;186255;318193,98871556;235803
2015-03-10;182306;316548,6350646;237946
2015-03-11;179025;315121,65257804;244750
2015-03-12;179902;314020,50249321;247526
2015-03-13;176047;313112,28576565;245056
2015-03-16;172296;312131,99242785;253867
2015-03-17;170980;310169,00350139;250817
2015-03-18;170127;309503,86685652;253454
2015-03-19;170524;309636,73201097;253924
2015-03-20;170362;310772,05084289;248462
2015-03-25;167108;308693,77402175;257914
2015-03-26;167724;307404,85229552;259303
2015-03-27;172515;308114,00800515;264900
2015-03-30;179399;308829,06316163;276659
2015-03-31;191989;310004,06316163;272539
2015-04-01;196786;312547,16098723;267588
2015-04-06;190899;314964,78313553;262395
2015-04-07;192511;314885,81861046;252435
2015-04-08;193362;316366,7745346;251942
2015-04-09;188648;317950,86854451;256898
2015-04-10;183403;319170,0923623;258300
2015-04-13;177229;318417,71751611;261372
2015-04-14;175226;316297,61832667;259255
2015-04-15;175056;315235,52313436;260722
2015-04-16;173716;315244,67742464;256466
2015-04-17;172646;315709,98950926;255299
2015-04-20;168731;315011,16443738;260276
2015-04-21;168326;313781,13892242;264707
2015-04-22;165983;313413,8303578;271080
2015-04-23;165903;313754,89321877;273902
2015-04-24;168137;314462,88580588;276111
2015-04-27;167760;313949,43266818;281111
2015-04-28;171532;313362,74239923;279585
2015-04-29;180347;314048,53207853;275910
2015-04-30;197817;317303,3259646;263577
2015-05-04;195816;320942,304557;254708
2015-05-05;196001;321633,18071517;251574
2015-05-06;197163;323207,5841409;243647
2015-05-07;202560;325241,49753742;238873
2015-05-08;199974;328213,02805955;243812
2015-05-11;190081;328927,22889639;255198
2015-05-12;186100;327832,22889639;270304
2015-05-13;183274;324776,73125447;273443
2015-05-14;181843;323906,351236;275421
2015-05-15;181365;323822,04864922;269627
2015-05-18;175400;323637,85986179;270061
2015-05-19;174431;322208,85438155;272723
2015-05-20;172913;322762,84525178;280304
2015-05-21;171866;323535,67017914;279268
2015-05-22;171597;324182,43169474;278541
2015-05-26;171232;323851,43169474;291115
2015-05-27;176757;322755,43169474;299524
2015-05-28;185499;320134,43169474;296945
2015-05-29;204140;321862,43169474;282029
2015-06-01;203494;323678,43169474;278168
2015-06-02;202246;324991,64386822;272560
2015-06-03;202545;327435,20383809;259906
2015-06-04;209696;332940,88915025;256053
2015-06-05;211148;337318,60938209;246737
2015-06-08;201626;339760,80276546;247773
2015-06-09;197753;339442,53376546;258160
2015-06-10;195263;340030,8578399;261636
2015-06-11;194557;338629,65493113;273781
2015-06-12;193528;338211,93617401;274158
2015-06-15;189269;337841,4322379;281497
2015-06-16;188612;336456,34221427;282941
2015-06-17;188944;336432,20602508;283990
2015-06-18;191502;337333,39072912;285122
2015-06-19;197196;339229,37805098;275526
2015-06-22;193081;341113,11926405;278220
2015-06-23;192900;341165,41753018;291531
2015-06-24;193202;341907,58642933;295086
2015-06-25;196591;343112,36984239;312749
2015-06-26;198395;345153,56058431;311142
2015-06-29;205743;346282,90375125;310547
2015-06-30;230882;348124,40111055;287592
2015-07-01;239057;351163,65786159;275444
2015-07-02;237138;354981,87895611;268930
2015-07-03;242697;358824,77774385;253977
2015-07-06;246276;363369,97064152;259762
2015-07-07;241992;365088,83993162;245054
2015-07-08;238175;366960,07120424;256976
2015-07-10;227774;369188,30547828;270117
2015-07-13;219568;367077,96009574;271926
2015-07-14;216887;366131,49741374;274487
2015-07-15;214548;365412,54340468;279290
2015-07-16;211354;365391,20798916;272470
2015-07-17;210726;365789,90733518;268501
2015-07-20;206488;366123,59854624;284382
2015-07-21;204111;365107,16120307;288536
2015-07-22;203802;365044,73100808;290591
2015-07-23;201055;365527,83548608;296665
2015-07-24;201856;366214,44868382;297835
2015-07-27;198905;365893,30270211;301757
2015-07-28;198852;365253,92234757;300963
2015-07-29;202254;365276,52029517;303048
2015-07-30;208262;365811,38200095;297544
2015-07-31;224942;367198,4510256;289083
2015-08-03;224270;370106,25884227;280304
2015-08-04;220251;370859,45656508;280665
2015-08-05;223919;372518,16852882;277257
2015-08-06;232711;374867,47989154;267613
2015-08-07;230845;377652,54985512;258545
2015-08-10;219982;379264,83455738;262410
2015-08-11;213447;377057,86567071;271372
2015-08-12;212773;375673,70028862;277077
2015-08-13;211984;374501,78528084;275608
2015-08-14;209869;374482,94566197;277828
2015-08-18;204861;373188,89041272;278780
2015-08-19;198995;371031,56915617;290542
2015-08-20;197504;370593,80318915;297546
2015-08-21;197585;370839,72465823;298792
2015-08-24;193581;370141,8665613;299972
2015-08-25;193616;368816,43740672;306350
2015-08-26;197053;368023,02720841;309620
2015-08-27;199130;368216,32740304;305575
2015-08-28;208614;369330,07576346;311151
2015-08-31;225234;371306,71386454;293995
2015-09-01;228212;371815,79400768;285803
2015-09-02;227552;373589,84652298;280479
2015-09-03;228337;375619,86139146;273016
2015-09-04;237005;378935,58843088;266108
2015-09-07;227966;381580,37049527;269381
2015-09-08;221355;381383,0806241;271928
2015-09-09;218756;381028,96868844;280751
2015-09-10;217034;380664,71780718;280655
2015-09-11;214998;380128,04391781;286758
2015-09-14;212784;379056,52349163;285540
2015-09-15;212132;377566,07938298;287880
2015-09-16;208235;376742,10663892;287502
2015-09-17;207772;376700,65492652;289454
2015-09-18;208787;377104,54583171;292010
2015-09-21;202549;377213,09907426;301798
2015-09-22;202001;375675,54998539;305758
2015-09-23;205354;375247,55881259;309900
2015-09-24;205068;375486,48854991;313909
2015-09-25;207055;376909,69002175;317222
2015-09-28;204122;376447,69002175;324129
2015-09-29;211095;376027,50677175;319055
2015-09-30;227129;375610,27677175;303858
2015-10-01;234950;377474,98961228;292020
2015-10-02;235940;381527,37651546;276128
2015-10-05;233318;384437,74121627;280470
2015-10-06;237724;385190,68807525;275413
2015-10-07;235079;387021,19250334;271644
2015-10-08;231281;388872,90070996;276648
2015-10-09;226214;389537,16501479;291315
2015-10-13;215914;387509,00463335;301556
2015-10-14;210859;384042,85182478;307025
2015-10-15;210773;382874,748316;319045
2015-10-16;207603;382568,79476129;310857
2015-10-19;203929;381494,69089951;304511
2015-10-20;200780;379769,85400194;309305
2015-10-21;201097;379430,45991705;313738
2015-10-22;199041;379534,34143199;320309
2015-10-23;198852;380125,51528422;321177
2015-10-26;199680;379148,69349473;328488
2015-10-27;205508;378306,47632141;323026
2015-10-28;210971;378771,25911658;334635
2015-10-29;217311;379379,19905602;335326
2015-10-30;235856;381030,37669971;314660
2015-11-02;236660;383705,53393298;313936
2015-11-03;238034;384414,77083961;302765
2015-11-04;239416;385349,67348415;306546
2015-11-05;249679;389466,39069364;293973
2015-11-09;232336;390432,43691805;298701
2015-11-10;223840;389625,56412929;306979
2015-11-11;218578;388833,81055545;319002
2015-11-12;217205;387923,44192185;312560
2015-11-13;215674;387643,17822537;315906
2015-11-16;211822;386935,97697003;321015
2015-11-17;208831;385020,49960823;317814
2015-11-18;210714;384786,11894308;314920
2015-11-19;211709;384866,16478886;316236
2015-11-20;209373;385968,67584781;316661
2015-11-23;205046;385146,67897292;340167
2015-11-24;205424;383799,4920114;359097
2015-11-25;206669;383984,73818752;369285
2015-11-26;216019;385361,42511058;365624
2015-11-30;235716;387418,09725509;373164
2015-12-01;239453;388277,09421609;383981
2015-12-02;239833;391339,07268114;377710
2015-12-03;241990;395313,56628467;369774
2015-12-04;257614;401149,18949975;351782
2015-12-09;243439;404618,03765581;369252
2015-12-10;237055;404917,81185343;376061
2015-12-11;230769;405386,22721514;379896
2015-12-14;223624;404159,2503498;389014
2015-12-15;225969;401798,89866119;388616
2015-12-16;226210;402234,16104194;392447
2015-12-17;234537;403834,02072818;387773
2015-12-18;256004;407937,84588056;369712
2015-12-21;253483;412509,9233899;374858
2015-12-22;252775;416356,96168151;379616
2015-12-23;250930;421189,48184934;375113
2015-12-24;246337;420026,52904674;382074
2015-12-28;241684;422335,5745484;383532
2015-12-29;241571;422004,5181705;388036
2015-12-30;249216;424376,10927948;384504
2015-12-31;253519;425365,16641779;373752
2016-01-04;254296;425257,86423421;360782
2016-01-05;251809;423829,14870031;355020
2016-01-06;250713;423633,69499821;349362
2016-01-07;258296;424550,15655204;336690
2016-01-08;254374;425123,59245872;337074
2016-01-11;242877;424510,30716094;355988
2016-01-12;234152;420720,51109494;359873
2016-01-13;230668;418377,29410091;360592
2016-01-14;226589;416461,32283574;368000
2016-01-15;225829;414589,94022302;362774
2016-01-18;220648;412900,43099363;362562
2016-01-19;217501;409858,40167195;366118
2016-01-20;217611;408199,50094095;373290
2016-01-21;218375;407189,46325201;378978
2016-01-22;217872;406354,65376689;379948
2016-01-25;214084;404736,59070186;390125
2016-01-26;213787;402547,92069297;397769
2016-01-27;219563;401872,20489024;391727
2016-01-28;227872;402218,95167758;384821
2016-01-29;253104;404834,32421632;358811
2016-02-01;255079;407509,77483897;352604
2016-02-02;250426;407673,97827397;348565
2016-02-03;250159;408919,20954777;346788
2016-02-04;259213;411074,96686452;328926
2016-02-05;258478;414116,91215028;321094
2016-02-10;237229;414575,55879028;325546
2016-02-11;230075;411458,52584766;334956
2016-02-12;228395;409387,30253723;344544
2016-02-15;221991;406864,22617023;353736
2016-02-16;217429;403716,88890405;352890
2016-02-17;213778;402050,70514532;352236
2016-02-18;214653;400869,84814342;350947
2016-02-19;214576;400721,98900532;347154
2016-02-22;208073;399721,88225614;354081
2016-02-23;206435;397650,66620719;361772
2016-02-24;209507;396881,94802664;369061
2016-02-25;213115;396685,63005382;364135
2016-02-26;224459;397254,16329182;354064
2016-02-29;243601;399469,99999604;342981
2016-03-01;245846;399370,79996704;344815
2016-03-02;243561;402408,71899794;337625
2016-03-03;244639;404117,90927276;329560
2016-03-04;259450;407939,896156;312446
2016-03-07;249160;411090,17259;308726
2016-03-08;241413;410324,45751388;312703
2016-03-09;232861;409854,80545957;319105
2016-03-10;228618;408734,48355036;319631
2016-03-11;227864;407528,92569264;318053
2016-03-14;221624;405822,79802148;318485
2016-03-15;216583;402635,22332383;320500
2016-03-16;211948;400752,61104257;315005
2016-03-17;208534;400026,70162202;322230
2016-03-18;207865;399505,45702372;326968
2016-03-21;203122;398818,2200946;333224
2016-03-22;202724;397029,90230132;333601
2016-03-23;202902;396952,40815792;350097
2016-03-28;201220;394906,49651909;356622
2016-03-29;204458;392619,04613693;359139
2016-03-30;213492;392706,74416607;346991
2016-03-31;237409;393995,05897638;328425
2016-04-01;246102;396731,38054936;315313
2016-04-04;239808;400263,72450672;306276
2016-04-05;239428;400950,32627241;303103
2016-04-06;248187;402524,01545389;289011
2016-04-07;243791;405331,48461488;286261
2016-04-08;239519;406856,07301078;281980
2016-04-11;225610;406670,85117381;294839
2016-04-12;221214;403355,96301481;303899
2016-04-13;222057;401325,96629902;304030
2016-04-14;221870;400577,96535402;312884
2016-04-15;219802;398716,96111162;299108
2016-04-18;211734;397030,83841542;297287
2016-04-19;211116;395185,00784071;301265
2016-04-20;214929;396017,06246358;299047
2016-04-21;213237;396078,06246358;322068
2016-04-22;212644;395023,86013023;319608
2016-04-25;207909;392917,04613108;319438
2016-04-26;203965;391217,50620508;325067
2016-04-27;208331;391088,34190394;325512
2016-04-28;217843;391887,99461892;327424
2016-04-29;243231;394313,61492092;308461
2016-05-02;247050;397903,30645992;307773
2016-05-03;243777;398371,86163028;298650
2016-05-04;249794;400238,18031366;296602
2016-05-05;261549;403456,4239896;287217
2016-05-06;260760;407342,83923804;276589
2016-05-09;249163;409758,19955348;283205
2016-05-10;235964;407088,16479448;289105
2016-05-11;231316;405579,82143582;312716
2016-05-12;229411;404224,17784682;308522
2016-05-13;227821;403457,44990662;315798
2016-05-16;221756;402392,20294992;326533
2016-05-17;218225;399713,17979402;331620
2016-05-18;218366;399000,64311172;333312
2016-05-19;216438;399024,52401892;331234
2016-05-20;212375;399520,29321345;333042
2016-05-23;207979;398734,65036272;340981
2016-05-24;207277;396750,8119408;341845
2016-05-26;212116;396285,7732558;357110
2016-05-27;215308;396185,4530565;358721
2016-05-30;222095;395972,81560966;358399
2016-05-31;241288;395524,60453606;331574
2016-06-01;248097;397964,55815726;320454
2016-06-02;250446;400867,74150966;310220
2016-06-03;254690;404294,73543495;302521
2016-06-06;256842;408664,26685453;299055
2016-06-07;250906;409176,67083704;295856
2016-06-08;244031;410321,33314654;298946
2016-06-09;240949;410989,74139004;304580
2016-06-10;235345;411578,62068765;311284
2016-06-13;229466;410496,71674615;315458
2016-06-14;226690;408010,16315138;329579
2016-06-15;230976;407995,74166078;328649
2016-06-16;235213;409363,12285394;306933
2016-06-21;236284;409170,18618886;327354
2016-06-22;234357;407064,68885096;352561
2016-06-23;236043;408447,52400696;354126
2016-06-24;228481;410816,35662252;355698
2016-06-27;232547;411872,93834152;366961
2016-06-28;241158;411580,08084152;347120
2016-06-29;261306;413717,45534372;346267
2016-06-30;291158;417507,57155872;327280
2016-07-01;299316;422772,90461672;318271
2016-07-04;289951;427640,72409172;308437
2016-07-05;290462;429599,00793384;298604
2016-07-06;304385;433467,65336188;310133
2016-07-07;298869;437786,93235898;299417
2016-07-11;280350;439937,18582765;310104
2016-07-12;274002;437232,59840023;309270
2016-07-13;270750;435523,18578223;315921
2016-07-14;265966;434477,50079675;322695
2016-07-15;263091;434144,30536875;317301
2016-07-18;257191;433351,02814851;314385
2016-07-19;254953;431153,63582679;312443
2016-07-20;251857;430831,67971391;317144
2016-07-21;251496;430829,55797691;320402
2016-07-22;248826;431339,13426254;328501
2016-07-25;245090;430864,55426454;335606
2016-07-26;247456;428808,24735104;340046
2016-07-27;252611;428773,37522554;341245
2016-07-28;259803;429786,06362754;337803
2016-07-29;288619;432921,76080054;312381
2016-08-01;290393;436040,84961056;308238
2016-08-02;286610;436456,31840456;307364
2016-08-03;282566;438043,40263256;301469
2016-08-04;292709;441370,36916388;290797
2016-08-05;292478;444830,07471338;282085
2016-08-08;280507;447414,64556427;293792
