"Fecha","Brecha con CCL","Brecha con MEP"
2021-01-04,75.7341886382596,68.0195762982712
2021-01-05,78.2632687276203,69.2905443620517
2021-01-06,74.403832247903,70.0629156127282
2021-01-07,75.197963800905,71.5773034877668
2021-01-08,75.3237127572909,70.4521369358328
2021-01-11,78.2832287283979,70.768427490204
2021-01-12,75.4382163516507,69.6361179391813
2021-01-13,74.8929105600253,69.1487798303888
2021-01-14,70.4992660231679,69.7931634522852
2021-01-15,75.0306176007465,69.5764912296622
2021-01-18,72.2501269364342,68.8932243739658
2021-01-19,73.9462153839966,68.7717024561776
2021-01-20,73.0387958846095,68.8079509172866
2021-01-21,74.7721887147466,68.8741154677294
2021-01-22,74.2411900164882,68.5534950759831
2021-01-25,74.610273135558,68.42014549733
2021-01-26,73.5494032243004,68.7964956939621
2021-01-27,77.0889237273086,69.1681279078925
2021-01-28,75.6603129963966,69.5736306154337
2021-01-29,76.7121085595787,69.3918958463582
2021-02-01,72.162302163263,69.3201253046844
2021-02-02,74.2471638131208,69.69489417471
2021-02-03,72.8042471735883,70.0794649725682
2021-02-04,75.5446220351516,70.4574200689192
2021-02-05,72.7722206364233,69.9917912812516
2021-02-08,72.4586772200809,69.6832937300124
2021-02-09,73.2674111910684,69.9235344095157
2021-02-10,75.9875809637189,69.4825742039694
2021-02-11,70.8132700388893,67.7086341995174
2021-02-12,68.5336938589057,66.768868374087
2021-02-16,62.6546115149904,66.768868374087
2021-02-17,64.7869665994272,61.3017477238799
2021-02-18,66.0660921153776,59.2101830344131
2021-02-19,64.9825792742598,57.7521234580218
2021-02-22,67.7832651112555,55.1790967401884
2021-02-23,59.0160272519127,56.2072260681743
2021-02-24,60.8088746254833,57.2283355388753
2021-02-25,66.9800774680484,58.1277454488735
