Fecha;Posicion;Interes Abierto
2021-07-13;2021-09-30;269674
2021-07-13;2021-10-31;292151
2021-07-13;2021-11-30;339075
2021-07-13;2021-12-31;162989
2021-07-13;2022-01-31;45819
2021-07-12;2021-08-31;325605
2021-07-12;2021-09-30;274116
2021-07-12;2021-10-31;285951
2021-07-12;2021-11-30;338597
2021-07-12;2021-12-31;153494
2021-07-12;2022-01-31;44484
2021-07-08;2021-08-31;323061
2021-07-08;2021-09-30;274948
2021-07-08;2021-10-31;285946
2021-07-08;2021-11-30;338657
2021-07-08;2021-12-31;153109
2021-07-08;2022-01-31;44484
2021-07-07;2021-08-31;314445
2021-07-07;2021-09-30;277785
2021-07-07;2021-10-31;281296
2021-07-07;2021-11-30;335052
2021-07-07;2021-12-31;151983
2021-07-07;2022-01-31;44561
2021-07-06;2021-08-31;303179
2021-07-06;2021-09-30;273261
2021-07-06;2021-10-31;264036
2021-07-06;2021-11-30;328391
2021-07-06;2021-12-31;149411
2021-07-06;2022-01-31;43181
2021-07-05;2021-08-31;314671
2021-07-05;2021-09-30;269768
2021-07-05;2021-10-31;270306
2021-07-05;2021-11-30;325728
2021-07-05;2021-12-31;142216
2021-07-05;2022-01-31;40860
2021-07-02;2021-08-31;315272
2021-07-02;2021-09-30;268682
2021-07-02;2021-10-31;269816
2021-07-02;2021-11-30;325758
2021-07-02;2021-12-31;142105
2021-07-02;2022-01-31;40860
2021-07-01;2021-08-31;332073
2021-07-01;2021-09-30;265657
2021-07-01;2021-10-31;248816
2021-07-01;2021-11-30;325044
2021-07-01;2021-12-31;138073
2021-07-01;2022-01-31;40860
2021-06-30;2021-08-31;337099
2021-06-30;2021-09-30;264916
2021-06-30;2021-10-31;238483
2021-06-30;2021-11-30;323962
2021-06-30;2021-12-31;138010
2021-06-30;2022-01-31;39860
2021-06-29;2021-08-31;298238
2021-06-29;2021-09-30;247779
2021-06-29;2021-10-31;216714
2021-06-29;2021-11-30;317542
2021-06-29;2021-12-31;133155
2021-06-29;2022-01-31;39003
