Fecha;Posicion;Tasa_Implicita
2021-09-13;2021-11-30;2,22831675513435
2021-09-13;2021-12-31;2,71564978734506
2021-09-13;2022-01-31;3,12032788043117
2021-09-13;2022-02-28;3,18846791754148
2021-09-13;2022-03-31;3,29242149769586
2021-09-13;2022-04-30;3,33448797965499
2021-09-10;2021-11-30;2,25703596755398
2021-09-10;2021-12-31;2,75189714256197
2021-09-10;2022-01-31;3,13563577468885
2021-09-10;2022-02-28;3,19393117106641
2021-09-10;2022-03-31;3,2928950678339
2021-09-10;2022-04-30;3,34287364255612
2021-09-09;2021-11-30;2,25778747261869
2021-09-09;2021-12-31;2,75527456026179
2021-09-09;2022-01-31;3,16153588646584
2021-09-09;2022-02-28;3,23725058998472
2021-09-09;2022-03-31;3,38223727680811
2021-09-09;2022-04-30;3,44466421189913
2021-09-08;2021-11-30;2,26161892717867
2021-09-08;2021-12-31;2,80528508707991
2021-09-08;2022-01-31;3,22007827041566
2021-09-08;2022-02-28;3,32931127194442
2021-09-08;2022-03-31;3,48058601563899
2021-09-08;2022-04-30;3,50073260449364
2021-09-07;2021-11-30;2,33491452528007
2021-09-07;2021-12-31;2,89095575937659
2021-09-07;2022-01-31;3,34225039103466
2021-09-07;2022-02-28;3,43026395240389
2021-09-07;2022-03-31;3,55420296033817
2021-09-07;2022-04-30;3,55200380481333
2021-09-03;2021-11-30;2,36030197490551
2021-09-03;2021-12-31;2,96384173068078
2021-09-03;2022-01-31;3,47740193301833
2021-09-03;2022-02-28;3,56826139528632
2021-09-03;2022-03-31;3,67552547885344
2021-09-03;2022-04-30;3,61299192813465
2021-09-02;2021-11-30;2,3458136664017
2021-09-02;2021-12-31;2,96203857456925
2021-09-02;2022-01-31;3,45956128798277
2021-09-02;2022-02-28;3,54698242545455
2021-09-02;2022-03-31;3,62176926587598
2021-09-02;2022-04-30;3,56635485708094
2021-09-01;2021-11-30;2,32175950317226
2021-09-01;2021-12-31;2,95343334498881
2021-09-01;2022-01-31;3,44754021942404
2021-09-01;2022-02-28;3,55781514473734
2021-09-01;2022-03-31;3,63578716650617
2021-09-01;2022-04-30;3,55931728656775
2021-08-31;2021-11-30;2,30571743616017
2021-08-31;2021-12-31;2,93850243156566
2021-08-31;2022-01-31;3,41302198288433
2021-08-31;2022-02-28;3,51430231494894
2021-08-31;2022-03-31;3,59338642146509
2021-08-31;2022-04-30;3,57282746559138
2021-08-30;2021-11-30;2,50838098039841
2021-08-30;2021-12-31;3,14621506937101
2021-08-30;2022-01-31;3,57074292886843
2021-08-30;2022-02-28;3,65604649137548
2021-08-30;2022-03-31;3,70311301332575
2021-08-30;2022-04-30;3,65575793440494
2021-08-27;2021-11-30;2,54539783327101
2021-08-27;2021-12-31;3,12999277688595
2021-08-27;2022-01-31;3,55706832502525
2021-08-27;2022-02-28;3,64915781309503
2021-08-27;2022-03-31;3,70130353467282
2021-08-27;2022-04-30;3,63945906076084
2021-08-24;2021-11-30;2,59440909132505
2021-08-24;2021-12-31;3,12042694308594
2021-08-24;2022-01-31;3,52338066913511
2021-08-24;2022-02-28;3,61872779240509
2021-08-24;2022-03-31;3,67198036629088
2021-08-24;2022-04-30;3,76147140137701
2021-08-23;2021-11-30;2,71060908904461
2021-08-23;2021-12-31;3,23027403542067
2021-08-23;2022-01-31;3,63735342366247
2021-08-23;2022-02-28;3,77157562387735
2021-08-23;2022-03-31;3,7830153759921
2021-08-23;2022-04-30;3,85428429657098
2021-08-19;2021-11-30;2,67276854518845
2021-08-19;2021-12-31;3,13062202660928
2021-08-19;2022-01-31;3,49156511888435
2021-08-19;2022-02-28;3,58089777225019
2021-08-19;2022-03-31;3,68832363348479
2021-08-19;2022-04-30;3,65097723965662
2021-08-18;2021-11-30;2,70661405673762
2021-08-18;2021-12-31;3,13307975333479
2021-08-18;2022-01-31;3,43482738491843
2021-08-18;2022-02-28;3,51336833391029
2021-08-18;2022-03-31;3,56615619261356
2021-08-18;2022-04-30;3,56976533881341
2021-08-17;2021-11-30;2,73227979781263
2021-08-17;2021-12-31;3,12804986711204
2021-08-17;2022-01-31;3,41267472728786
2021-08-17;2022-02-28;3,50077052132243
2021-08-17;2022-03-31;3,55504715526229
2021-08-17;2022-04-30;3,59231736735945
2021-08-13;2021-11-30;2,6644052202575
2021-08-13;2021-12-31;3,0657412170509
2021-08-13;2022-01-31;3,30839151611317
2021-08-13;2022-02-28;3,4107552083928
2021-08-13;2022-03-31;3,45606369859279
2021-08-13;2022-04-30;3,5104739989829
2021-08-12;2021-11-30;2,61394752038697
2021-08-12;2021-12-31;3,01473853825212
2021-08-12;2022-01-31;3,2755930644256
2021-08-12;2022-02-28;3,39154173293841
2021-08-12;2022-03-31;3,45009385431745
2021-08-12;2022-04-30;3,50025899795969
2021-08-11;2021-11-30;2,67252070603425
2021-08-11;2021-12-31;3,0630564447012
2021-08-11;2022-01-31;3,32527136599443
2021-08-11;2022-02-28;3,44821615302584
2021-08-11;2022-03-31;3,49666731204097
2021-08-11;2022-04-30;3,53939950338156
2021-08-10;2021-11-30;2,73199104991069
2021-08-10;2021-12-31;3,09476064650462
2021-08-10;2022-01-31;3,35568911514879
2021-08-10;2022-02-28;3,45976706749425
2021-08-10;2022-03-31;3,47408656202415
2021-08-10;2022-04-30;3,51058176569556
2021-08-09;2021-11-30;2,83056186533091
2021-08-09;2021-12-31;3,13729629966333
2021-08-09;2022-01-31;3,35703974505428
2021-08-09;2022-02-28;3,47245790975581
2021-08-09;2022-03-31;3,4842639102554
2021-08-09;2022-04-30;3,51878859233401
2021-08-06;2021-11-30;2,7460378884977
2021-08-06;2021-12-31;2,97903036354912
