Fecha;Valor
2020-01-02;783,17
2020-02-03;-259,525
2020-03-02;135,12
2020-04-01;-546,72
2020-05-04;-678,99
2020-06-01;671,95
2020-07-01;-568,19
2020-08-03;-1278,8
2020-09-01;-1617,76
2020-10-01;-1090,45135202931
2020-11-02;-326,974321595775
2020-12-01;607,733530323072
2021-01-04;157,106093983344
2021-02-01;632,72556712
2021-03-01;1476,300484484
2021-04-05;1373,359656579
2021-05-03;2089,002794197
2021-06-01;727,435898979
2021-07-01;713,998342236
