"Factor","Valor"
"Total",89.2852673788657
"Compra de
Divisas",670.684402553344
"Organismos
Internacionales",-456.591141077908
"Otras oper.
Sector Público",-403.752920486301
"Efectivo
Mínimo",735.923565227425
"Otros",-456.978638837694
