Vencimiento;Monto
2022-03-08;600,019176713
2022-03-10;422,297023289
2022-03-15;559,240360235
2022-03-17;394,23791507
2022-03-22;455,09810822
2022-03-23;350,082016919
2022-03-29;331,173361303
2022-03-31;389,363806511
2022-07-13;175,190442193
2022-07-20;98,481592879
2022-07-27;89,793060275
2022-08-03;9,094
2022-08-10;0,25
2022-08-17;2,1
2022-08-24;0,47
2022-08-31;1
