Fecha;Total;Otros;Plazos Fijos UVA;Plazos Fijos Tradicionales;Cuenta Corriente;Caja de Ahorros
2017-01-02;1489753;56266;410;600965;471249;360863
2017-01-03;1471730;54550;409;610949;455267;350555
2017-01-04;1459587;56750;410;609785;438801;353841
2017-01-05;1458576;55210;412;613607;419667;369680
2017-01-06;1446289;56284;413;615419;409073;365100
2017-01-09;1435855;61688;400;618583;409438;345746
2017-01-10;1442653;61678;401;622025;423838;334711
2017-01-11;1428577;58198;401;620177;417578;332223
2017-01-12;1420331;57322;402;622710;410283;329614
2017-01-13;1414692;60912;404;625516;402059;325801
2017-01-16;1412581;58528;399;620340;416307;317007
2017-01-17;1412895;58121;400;627916;416151;310307
2017-01-18;1413862;52712;501;629235;421205;310209
2017-01-19;1412615;51720;502;633391;419572;307430
2017-01-20;1413607;51388;504;635203;423223;303289
2017-01-23;1417299;53743;504;632406;433506;297140
2017-01-24;1425674;54199;557;637699;439089;294130
2017-01-25;1441787;53194;557;639444;453322;295270
2017-01-26;1449401;49882;561;646913;454606;297439
2017-01-27;1450994;50694;562;653318;443794;302626
2017-01-30;1493237;55341;557;647520;481948;307871
2017-01-31;1495530;56820;559;650002;456302;331847
2017-02-01;1499822;55110;557;671837;428804;343514
2017-02-02;1494828;55711;564;678388;419340;340825
2017-02-03;1484121;57255;566;702641;378726;344933
2017-02-06;1472572;60070;555;696141;369173;346633
2017-02-07;1464745;58779;554;702388;362867;340157
2017-02-08;1461803;57289;550;702362;371398;330204
2017-02-09;1465527;57218;551;702831;377906;327021
2017-02-10;1462416;61580;552;701122;375770;323392
2017-02-13;1461941;68541;548;699668;383557;309627
2017-02-14;1466935;55742;547;708460;396009;306177
2017-02-15;1485009;57485;548;710938;405603;310435
2017-02-16;1472614;55521;549;717031;395152;304361
2017-02-17;1490556;59223;549;720804;405971;304009
2017-02-20;1493256;56562;545;717506;418175;300468
2017-02-21;1524748;54855;545;724280;447415;297653
2017-02-22;1518048;55240;545;724620;428523;309120
2017-02-23;1531682;54472;546;725412;433249;318003
2017-02-24;1534071;58914;546;727918;396952;349741
2017-03-01;1518657;61510;542;716271;377887;362447
2017-03-02;1511651;60259;543;721976;368395;360478
2017-03-03;1502706;59548;544;698770;378566;365278
2017-03-06;1497369;60677;540;688686;384124;363342
2017-03-07;1485975;61690;541;693394;375352;354998
2017-03-08;1482097;60484;764;691049;380473;349327
2017-03-09;1482893;58707;765;695332;389107;338982
2017-03-10;1489782;59149;777;695809;402870;331177
2017-03-13;1482883;65943;880;691935;405850;318275
2017-03-14;1488505;56880;920;697182;420703;312820
2017-03-15;1496239;55055;921;673085;452987;314191
2017-03-16;1485691;54249;898;680001;440172;310371
2017-03-17;1487719;59917;900;683678;438234;304990
2017-03-20;1498392;56781;896;680004;461272;299439
2017-03-21;1502832;55827;979;686688;461611;297727
2017-03-22;1503403;55704;1171;686499;464380;295649
2017-03-23;1505795;54293;1233;694921;461321;294027
2017-03-27;1502486;57946;1230;688465;463834;291011
2017-03-28;1496367;56187;1230;691540;452260;295150
2017-03-29;1505929;52446;1141;695694;457408;299240
2017-03-30;1512897;53613;1183;697709;453847;306545
2017-03-31;1512152;56830;1196;692958;421592;339576
2017-04-03;1504559;57166;1186;683113;421512;341582
2017-04-04;1489095;56087;1206;689886;402727;339189
2017-04-05;1483813;55813;1208;679841;400750;346201
2017-04-06;1480334;58300;1210;668115;399298;353411
2017-04-07;1469096;61775;1212;675101;380569;350439
2017-04-10;1473687;66399;1211;670400;401140;334537
2017-04-11;1476895;65083;1212;680085;404644;325871
2017-04-12;1480820;63474;1215;684234;410445;321452
2017-04-17;1474545;71758;1235;670744;426482;304326
2017-04-18;1486696;67643;1239;678863;440515;298436
2017-04-19;1496040;59928;1145;684110;449846;301011
2017-04-20;1482834;56954;1150;690530;438103;296097
2017-04-21;1479572;57226;1153;694274;433297;293622
2017-04-24;1500684;58993;1158;692007;459546;288980
2017-04-25;1502465;57258;1172;696307;460058;287670
2017-04-26;1508900;57663;1183;695329;454821;299904
2017-04-27;1535212;58909;1187;699120;458462;317534
2017-04-28;1534320;57924;1194;702506;422860;349836
2017-05-02;1521051;75585;1283;677198;418231;348754
2017-05-03;1502571;58350;1291;692547;407136;343247
2017-05-04;1498456;60715;1298;692312;398714;345417
2017-05-05;1490997;60270;1241;685362;381086;363038
2017-05-08;1467632;64616;1332;680655;377474;343555
2017-05-09;1465568;63548;1336;685341;374662;340681
2017-05-10;1468052;63784;1260;683585;387607;331816
2017-05-11;1471225;61574;1267;685082;396127;327175
2017-05-12;1486516;63904;1280;686216;410664;324452
2017-05-15;1480970;61559;1365;685410;417709;314927
2017-05-16;1478613;61352;1369;687241;411573;317078
2017-05-17;1482036;65900;1378;685074;411209;318475
2017-05-18;1486632;61319;1382;691346;420652;311933
2017-05-19;1501960;60480;1387;695806;432202;312085
2017-05-22;1503401;62941;1389;691769;443351;303951
2017-05-23;1507428;61283;1396;699609;444441;300699
2017-05-24;1511893;61403;1400;700481;446545;302064
2017-05-26;1522057;60720;1405;696536;459730;303666
2017-05-29;1525785;62464;1407;689059;464577;308278
2017-05-30;1524949;61871;1411;692190;448164;321313
2017-05-31;1529174;61085;1415;699724;418837;348113
2017-06-01;1542040;59264;1421;698516;418559;364280
2017-06-02;1531291;61301;1427;686949;405402;376212
2017-06-05;1513098;66221;1432;677123;399039;369283
2017-06-06;1528811;62314;1440;676393;410613;378051
2017-06-07;1519478;65353;1445;674528;403486;374666
2017-06-08;1520455;65405;1446;674911;410590;368103
2017-06-09;1507721;66259;1449;680851;400098;359064
2017-06-12;1502732;72077;1443;674412;411884;342916
2017-06-13;1504260;71869;1445;680332;417624;332990
2017-06-14;1510833;62925;1445;679889;432179;334395
2017-06-15;1509690;62205;1447;681711;431557;332770
2017-06-16;1496939;60921;1452;684544;419065;330957
2017-06-19;1503840;70592;1452;684721;421831;325244
2017-06-21;1574270;65218;1454;684539;495412;327647
2017-06-22;1584603;65123;1458;693937;492428;331657
2017-06-23;1578597;62323;1461;702221;483348;329244
2017-06-26;1569780;65391;1458;697647;476914;328370
2017-06-27;1584957;62842;1459;703814;487248;329594
2017-06-28;1588883;61234;1461;703388;475030;347770
2017-06-29;1602024;65159;1465;698633;471098;365669
2017-06-30;1606128;64857;1469;697390;431211;411201
2017-07-03;1583166;66582;1471;685350;418195;411568
2017-07-04;1566639;64077;1474;693668;404720;402700
2017-07-05;1556070;66199;1476;689550;388862;409983
2017-07-06;1552855;64281;1484;681845;378100;427145
2017-07-07;1539418;68933;1487;682252;363570;423176
2017-07-10;1539878;73951;1486;677692;387051;399698
2017-07-11;1547967;70639;1491;683252;406595;385990
2017-07-12;1549992;69888;1490;682542;417029;379043
