Fecha;Brecha con CCL;Brecha con MEP
2020-06-18;-70,9303422224204;55,4331459780972
2020-06-19;-69,411384284966;52,4277000200853
2020-06-22;-69,9963034919022;48,0346661203695
2020-06-23;-70,0063360047635;44,271092153001
2020-06-24;-70,579832443196;44,186557625462
2020-06-25;-69,8227922502476;39,3917353952351
2020-06-26;-70,1775396959128;41,4551152365543
2020-06-29;-69,9918233357778;38,8801845050827
2020-06-30;-70,4564034144803;41,5371513732169
2020-07-01;-69,5599630448686;42,1749864411942
2020-07-02;-68,9822025924172;41,4851399457158
2020-07-03;-69,2458478043647;40,0189803506697
2020-07-06;-67,8544091546678;37,1600227774767
2020-07-07;-68,1427891932687;35,9142317411251
2020-07-08;-67,9349511717386;36,044584205895
2020-07-09;-67,9349511717386;36,044584205895
2020-07-10;-67,9349511717386;36,044584205895
2020-07-13;-67,6407034002528;33,7490827328208
2020-07-14;-66,4156692388069;38,0291671741947
2020-07-15;-65,7145538563103;38,4596543951498
2020-07-16;-65,1704220085663;37,8335060813436
2020-07-17;-64,8643493324455;36,9607137559539
2020-07-20;-64,508515251605;42,2004507292265
2020-07-21;-64,4198583113169;40,3982308809203
2020-07-22;-64,163585499883;37,1060881042732
2020-07-23;-64,0417517574581;35,3179018093572
2020-07-24;-64,3466890382014;35,8050987106415
2020-07-27;-64,219611291032;35,2893213419854
2020-07-28;-64,3911189585764;33,2655512559196
2020-07-29;-64,9950608943667;32,4398258084261
2020-07-30;-64,2459771982306;33,3871233539291
2020-07-31;-64,7698812949513;31,2468609730904
2020-08-03;-62,6509913012721;26,0846967502045
2020-08-04;-62,1497761500551;20,6864361774657
2020-08-05;-62,5866331077788;20,7730404731629
2020-08-06;-63,4494100029879;19,9369361679076
2020-08-07;-63,012290538346;19,3762268924041
2020-08-10;-63,513491203956;19,3589090796796
2020-08-11;-65,2113722399492;18,3130167889319
2020-08-12;-66,9215379469174;20,7132024589597
2020-08-13;-66,5134039289679;20,9277823940208
2020-08-14;-66,6394517276559;22,4371024201341
2020-08-17;-66,6394517276559;22,4371024201341
2020-08-18;-67,4299623168959;22,2123703920164
2020-08-19;-66,7002652225294;22,1965478944215
2020-08-20;-66,397557081854;22,2602202285983
2020-08-21;-66,9454543020442;25,0324429849803
2020-08-24;-66,9797891229544;27,9896006524235
2020-08-25;-66,9720778506805;29,9161511884227
2020-08-26;-67,7377081330947;29,8614954831762
2020-08-27;-68,7814155793735;25,8477496650496
2020-08-28;-67,4124542524348;26,9778855762698
2020-08-31;-66,9035347693241;29,9344334066484
2020-09-01;-67,0946594884981;17,6799721558392
2020-09-02;-68,2491338345968;14,8586750696305
2020-09-03;-68,9674090596523;15,557323825876
2020-09-04;-69,1679106183966;14,4384125025075
2020-09-07;-69,254651039994;10,3460933882934
2020-09-08;-69,6377669885059;10,9908878840661
2020-09-09;-68,9177860240493;13,1599978575403
2020-09-10;-69,4770235002342;15,9126278229642
2020-09-11;-69,4325773633961;18,021834749548
2020-09-14;-70,1721755590176;21,4235732851904
2020-09-15;-69,978793138675;62,3507746410329
2020-09-16;-71,4655304419081;69,5877980138387
2020-09-17;-72,7365484903664;67,7389930309757
2020-09-18;-72,0585815124348;72,1047980198089
2020-09-21;-73,0455358751358;73,2941569777132
2020-09-22;-73,4513533960907;77,6599047996294
2020-09-23;-73,7530484117071;77,8958958608207
2020-09-24;-73,9867172486807;72,7081032232152
2020-09-25;-74,3728516552374;78,3738026494416
2020-09-28;-74,184632417154;80,5339852664941
2020-09-29;-74,4195675641162;82,3498814527245
2020-09-30;-75,4294527205107;82,1978833845244
2020-10-01;-74,1629446635801;82,3569169386983
2020-10-02;-73,9168154345386;79,5425098429341
2020-10-05;-73,0999760122113;82,7192499169886
2020-10-06;-73,7531374560855;81,8337834911269
2020-10-07;-73,5566838433541;80,2583175229476
