"Fecha","Total","Personales","Tarjetas","Adelantos","Hipotecarios","Prendarios","Otros","Documentos"
2017-06-07,12127,0,603,371,132,172,1165,9684
2017-06-08,12141,0,599,374,133,174,1167,9694
2017-06-09,12237,0,604,373,134,176,1164,9786
2017-06-12,12280,0,595,373,135,177,1158,9842
2017-06-13,12304,0,586,373,135,177,1166,9867
2017-06-14,12329,0,551,376,135,178,1166,9923
2017-06-15,12372,0,541,377,143,178,1176,9957
2017-06-16,12344,0,522,377,144,178,1171,9952
2017-06-19,12406,0,533,377,144,178,1183,9991
2017-06-21,12390,0,549,378,144,178,1170,9971
2017-06-22,12424,0,545,377,144,179,1173,10006
2017-06-23,12433,0,550,366,145,180,1177,10015
2017-06-26,12415,0,528,367,145,182,1170,10023
2017-06-27,12462,0,547,368,145,182,1169,10051
2017-06-28,12680,0,561,372,147,181,1199,10220
2017-06-29,12734,0,557,373,147,181,1196,10280
2017-06-30,12795,0,538,373,149,182,1223,10330
2017-07-03,12829,0,524,373,149,182,1223,10378
2017-07-04,12867,0,522,373,150,181,1221,10420
2017-07-05,12905,0,506,374,150,180,1221,10474
2017-07-06,13004,0,504,378,150,179,1254,10539
2017-07-07,13054,0,510,378,150,180,1255,10581
2017-07-10,13075,0,502,378,150,180,1256,10609
2017-07-11,13145,0,499,380,151,184,1259,10672
2017-07-12,13174,0,479,382,151,189,1266,10707
2017-07-13,13239,0,477,381,151,190,1273,10767
2017-07-14,13330,0,469,382,151,190,1277,10861
2017-07-17,13379,0,482,381,154,190,1277,10895
2017-07-18,13420,0,503,380,154,189,1279,10915
2017-07-19,13456,0,519,381,154,187,1280,10935
2017-07-20,13513,0,523,395,154,188,1285,10968
2017-07-21,13617,0,539,405,154,187,1287,11045
2017-07-24,13587,0,517,405,154,185,1295,11031
2017-07-25,13655,0,541,404,159,188,1306,11057
2017-07-26,13683,0,565,404,161,189,1311,11053
2017-07-27,13731,0,559,404,161,188,1309,11110
2017-07-28,13755,0,576,404,161,187,1308,11119
2017-07-31,13757,0,560,405,161,189,1304,11138
2017-08-01,13790,0,557,405,161,195,1307,11165
2017-08-02,13776,0,544,406,160,195,1307,11164
2017-08-03,13844,0,553,405,161,195,1302,11228
2017-08-04,13872,0,561,405,161,195,1310,11240
2017-08-07,13854,0,561,405,161,194,1308,11225
2017-08-08,13802,0,554,406,162,195,1303,11182
2017-08-09,13780,0,523,405,162,194,1302,11194
2017-08-10,13815,0,523,406,163,197,1311,11215
2017-08-11,13841,0,513,416,163,198,1329,11222
2017-08-14,13804,0,526,416,162,203,1329,11168
2017-08-15,13876,0,548,416,163,202,1335,11212
2017-08-16,13853,0,562,415,163,202,1379,11132
2017-08-17,13896,0,575,415,164,200,1395,11147
2017-08-18,13959,0,598,414,164,202,1395,11186
2017-08-22,13926,0,623,414,164,203,1377,11145
2017-08-23,13987,0,663,411,164,204,1371,11174
2017-08-24,14007,0,665,412,164,205,1368,11193
2017-08-25,13922,0,691,409,173,88,1369,11192
2017-08-28,14026,0,631,410,174,205,1379,11227
2017-08-29,14171,0,650,412,174,201,1436,11298
2017-08-30,14232,0,671,409,177,200,1474,11301
2017-08-31,14190,0,634,410,177,202,1476,11291
2017-09-01,14201,0,660,409,177,203,1470,11282
2017-09-04,14172,0,612,409,177,203,1470,11301
2017-09-05,14129,0,596,401,179,203,1469,11281
2017-09-06,14073,0,573,401,179,203,1451,11266
2017-09-07,14098,0,572,401,179,204,1460,11282
2017-09-08,14064,0,560,401,180,205,1456,11262
2017-09-11,14057,0,576,400,180,206,1445,11250
2017-09-12,14068,0,573,400,180,207,1447,11261
2017-09-13,14005,0,504,398,179,206,1448,11270
2017-09-14,13927,0,532,396,179,90,1452,11278
2017-09-15,14045,0,523,395,180,208,1454,11285
2017-09-18,14043,0,514,391,179,207,1454,11298
2017-09-19,14073,0,534,391,180,206,1455,11307
2017-09-20,14079,0,546,392,180,208,1456,11297
2017-09-21,14079,0,555,392,180,207,1459,11286
2017-09-22,14164,0,573,391,181,207,1459,11353
2017-09-25,14117,0,540,390,183,207,1457,11340
2017-09-26,14158,0,561,391,183,206,1457,11360
2017-09-27,14220,0,581,389,183,206,1477,11384
2017-09-28,14244,0,570,391,188,206,1464,11425
2017-09-29,14295,0,571,388,189,209,1464,11474
2017-10-02,14319,0,545,387,189,213,1463,11522
2017-10-03,14338,0,551,387,189,212,1464,11535
2017-10-04,14332,0,538,386,189,213,1468,11538
2017-10-05,14367,0,541,388,189,214,1471,11564
2017-10-06,14366,0,551,389,189,213,1466,11558
2017-10-09,14365,0,538,388,189,213,1482,11555
2017-10-10,14379,0,536,386,191,217,1494,11555
2017-10-11,14357,0,509,386,191,218,1491,11562
2017-10-12,14372,0,515,386,191,218,1493,11569
2017-10-13,14390,0,503,386,191,219,1487,11604
2017-10-17,14355,0,518,386,191,219,1481,11560
2017-10-18,14376,0,551,382,192,221,1492,11538
2017-10-19,14403,0,546,382,192,221,1496,11566
2017-10-20,14392,0,563,381,192,221,1490,11545
2017-10-23,14337,0,543,387,193,222,1468,11524
2017-10-24,14391,0,565,391,193,221,1462,11559
2017-10-25,14414,0,585,380,193,224,1465,11567
2017-10-26,14454,0,572,374,192,224,1476,11616
2017-10-27,14452,0,586,373,192,224,1480,11597
2017-10-30,14436,0,565,392,192,226,1479,11582
2017-10-31,14470,0,583,391,194,226,1479,11597
2017-11-01,14450,0,553,391,194,226,1479,11607
2017-11-02,14441,0,544,391,193,227,1473,11613
2017-11-03,14455,0,547,391,193,227,1472,11625
2017-11-07,14415,0,523,392,193,227,1471,11609
2017-11-08,14429,0,508,381,194,237,1469,11640
2017-11-09,14390,0,501,382,194,238,1470,11605
2017-11-10,14454,0,489,381,193,239,1467,11685
2017-11-13,14462,0,502,381,193,238,1471,11677
2017-11-14,14511,0,529,381,193,239,1473,11696
2017-11-15,14549,0,549,379,193,239,1472,11717
2017-11-16,14573,0,565,379,193,240,1476,11720
2017-11-17,14558,0,577,382,193,240,1480,11686
2017-11-21,14650,0,594,381,193,240,1526,11716
2017-11-22,14662,0,624,382,193,240,1543,11680
2017-11-23,14636,0,610,379,192,241,1557,11657
2017-11-24,14706,0,633,380,193,242,1556,11702
2017-11-27,14726,0,607,379,194,260,1561,11725
2017-11-28,14711,0,624,377,193,260,1559,11698
2017-11-29,14579,0,642,374,193,259,1563,11548
2017-11-30,14796,0,617,375,194,259,1575,11776
2017-12-01,14810,0,643,368,194,261,1567,11777
2017-12-04,14754,0,605,350,194,264,1565,11776
2017-12-05,14713,0,595,349,197,264,1565,11743
2017-12-06,14744,0,579,350,198,265,1571,11781
2017-12-07,14750,0,575,339,198,265,1568,11805
2017-12-11,14766,0,556,340,200,266,1551,11853
2017-12-12,14818,0,587,343,199,266,1563,11860
2017-12-13,14815,0,555,343,199,265,1564,11889
2017-12-14,14779,0,538,346,200,265,1567,11863
2017-12-15,14768,0,501,346,196,263,1563,11899
2017-12-18,14779,0,507,350,196,263,1564,11899
2017-12-19,14790,0,529,350,197,264,1549,11901
2017-12-20,14737,0,542,351,197,262,1519,11866
2017-12-21,14777,0,527,357,198,262,1521,11912
2017-12-22,14811,0,539,334,203,262,1523,11950
2017-12-26,14777,0,506,335,205,259,1520,11952
2017-12-27,14765,0,523,338,205,267,1528,11904
2017-12-28,14775,0,510,337,211,264,1533,11920
2017-12-29,14803,0,519,314,211,268,1537,11954
2018-01-02,14933,0,491,314,211,269,1701,11947
2018-01-03,15014,0,518,314,211,271,1728,11972
2018-01-04,15072,0,525,313,211,269,1731,12023
2018-01-05,15168,0,517,310,211,268,1730,12132
2018-01-08,15158,0,522,311,212,266,1728,12119
2018-01-09,15152,0,562,311,212,266,1732,12069
2018-01-10,15148,0,557,311,212,278,1748,12042
2018-01-11,15182,0,544,312,212,279,1753,12082
2018-01-12,15242,0,540,311,212,279,1755,12145
2018-01-15,15249,0,560,311,212,278,1746,12142
2018-01-16,15301,0,605,311,213,278,1746,12148
2018-01-17,15378,0,637,312,213,281,1740,12195
2018-01-18,15419,0,662,310,213,281,1742,12211
2018-01-19,15467,0,683,312,215,281,1748,12228
2018-01-22,15530,0,711,312,215,281,1754,12257
2018-01-23,15589,0,742,309,215,279,1753,12291
2018-01-24,15625,0,770,308,215,278,1751,12303
2018-01-25,15619,0,765,308,215,278,1751,12302
2018-01-26,15639,0,789,311,215,278,1750,12296
2018-01-29,15751,0,799,310,222,278,1754,12388
2018-01-30,15743,0,801,310,222,278,1754,12378
2018-01-31,15832,0,824,310,222,289,1802,12385
2018-02-01,15741,0,821,310,222,290,1695,12403
2018-02-02,15789,0,838,310,222,290,1693,12436
2018-02-05,15762,0,786,309,222,290,1695,12460
2018-02-06,15786,0,793,309,224,288,1678,12494
2018-02-07,15814,0,770,310,228,289,1676,12541
2018-02-08,15868,0,764,312,227,289,1685,12591
2018-02-09,15903,0,772,312,229,285,1688,12617
2018-02-14,15873,0,752,311,229,286,1685,12610
2018-02-15,15815,0,704,312,229,288,1684,12598
2018-02-16,15855,0,678,311,230,297,1687,12652
2018-02-19,15892,0,682,346,230,297,1687,12650
2018-02-20,15933,0,718,346,230,295,1710,12634
2018-02-21,15974,0,744,346,230,295,1680,12679
2018-02-22,15960,0,732,347,237,295,1672,12677
2018-02-23,15973,0,741,346,237,295,1680,12674
2018-02-26,15971,0,694,346,238,295,1680,12718
2018-02-27,16024,0,748,345,237,295,1680,12719
2018-02-28,16101,0,720,343,237,300,1664,12837
2018-03-01,16090,0,702,343,237,298,1644,12866
2018-03-02,16103,0,708,343,237,298,1646,12871
2018-03-05,16073,0,661,343,237,300,1646,12886
2018-03-06,16073,0,654,353,237,301,1642,12886
2018-03-07,16066,0,632,353,239,300,1643,12899
2018-03-08,16049,0,625,353,239,300,1643,12889
2018-03-09,16088,0,629,353,240,301,1641,12924
2018-03-12,16070,0,619,352,238,302,1645,12914
2018-03-13,16104,0,613,355,238,309,1653,12936
2018-03-14,16087,0,570,355,241,308,1654,12959
2018-03-15,16075,0,563,369,242,309,1651,12941
2018-03-16,16073,0,544,357,242,309,1661,12960
2018-03-19,16018,0,551,356,241,309,1668,12893
2018-03-20,16037,0,575,356,241,309,1664,12892
2018-03-21,16061,0,590,354,243,309,1669,12896
2018-03-22,16040,0,573,349,247,309,1669,12893
2018-03-23,15990,0,586,347,252,310,1670,12825
2018-03-26,15965,0,558,347,252,310,1673,12825
2018-03-27,15947,0,573,344,250,314,1676,12790
2018-03-28,15812,0,532,343,251,317,1678,12691
2018-04-03,15866,0,548,343,251,317,1658,12749
2018-04-04,15889,0,535,324,251,317,1658,12804
2018-04-05,16016,0,574,324,251,317,1658,12892
2018-04-06,16081,0,588,323,255,317,1656,12942
2018-04-09,16074,0,572,322,254,317,1657,12952
2018-04-10,16082,0,562,328,255,317,1658,12962
2018-04-11,15942,0,544,323,257,115,1660,13043
2018-04-12,16182,0,522,323,258,318,1664,13097
2018-04-13,16284,0,523,326,263,317,1662,13193
2018-04-16,16278,0,533,326,263,317,1653,13186
2018-04-17,16292,0,556,323,263,317,1645,13188
2018-04-18,16304,0,571,326,263,316,1642,13186
2018-04-19,16362,0,559,326,263,316,1644,13254
2018-04-20,16421,0,577,327,264,316,1648,13289
2018-04-23,16385,0,552,326,264,315,1641,13287
2018-04-24,16421,0,577,325,264,332,1638,13285
2018-04-25,16476,0,593,326,264,331,1638,13324
2018-04-26,16491,0,579,325,265,330,1641,13351
2018-04-27,16550,0,569,327,266,331,1653,13404
