"Factor","Valor"
"Total",35851.3533976702
"Compra de
divisas al
SP",29828.1129
"Compra de
divisas al
Tesoro",-40000
"Otras
operaciones
con Tesoro",28179.41016417
"Pases",29336.909756989
"Leliq",-65710.02574841
"Redesc.",0
"Intereses",77823.141698601
"Otros",-23605.8639772098
