Fecha;Circulante;Cta. Cte. en BCRA;Total
2019-01-02;860000;525096;1385096
2019-01-03;859545;494590;1354135
2019-01-04;859079;486492;1345571
2019-01-07;857916;475785;1333701
2019-01-08;856719;486048;1342767
2019-01-09;854612;464551;1319163
2019-01-10;852113;469383;1321496
2019-01-11;849410;463033;1312443
2019-01-14;846176;491444;1337620
2019-01-15;842218;498718;1340936
2019-01-16;838430;496311;1334741
2019-01-17;833670;507225;1340895
2019-01-18;829324;485066;1314390
2019-01-21;824637;500089;1324726
2019-01-22;820734;521675;1342409
2019-01-23;816515;537485;1354000
2019-01-24;813317;549852;1363169
2019-01-25;810515;556804;1367319
2019-01-28;808922;557902;1366824
2019-01-29;807458;581921;1389379
2019-01-30;806324;574878;1381202
2019-01-31;807110;545695;1352805
2019-02-01;808840;632618;1441458
2019-02-04;810616;598043;1408659
2019-02-05;811247;571039;1382286
2019-02-06;812743;558165;1370908
2019-02-07;813634;525679;1339313
2019-02-08;814644;513040;1327684
2019-02-11;814354;502069;1316423
2019-02-12;812658;502894;1315552
2019-02-13;810262;482732;1292994
2019-02-14;807879;486031;1293910
2019-02-15;805815;491917;1297732
2019-02-18;803149;497497;1300646
2019-02-19;800735;511430;1312165
2019-02-20;798296;502633;1300929
2019-02-21;796386;502425;1298811
2019-02-22;794573;520541;1315114
2019-02-25;793760,9;557334,9;1351095,8
2019-02-26;796183;577344;1373527
2019-02-27;801080;603074;1404154
2019-02-28;806108,8;596971,8;1403080,6
2019-03-01;812183;591409;1403592
2019-03-06;815760;551134;1366894
2019-03-07;817789;487901;1305690
2019-03-08;816760;470295;1287055
2019-03-11;816012;438865;1254877
2019-03-12;814871;442239;1257110
2019-03-13;812646,4;446405;1259051,4
2019-03-14;810776;471557;1282333
2019-03-15;808336;477204;1285540
2019-03-18;805760;476863;1282623
2019-03-19;803069;472126;1275195
2019-03-20;800329,5;469315,9;1269645,4
2019-03-21;797492,7;486094,8;1283587,5
2019-03-22;795351;488776;1284127
2019-03-25;794552;497857;1292409
