Fecha;CCL;Mayorista;MEP;Minorista;Solidario
2021-01-04;149,232744431619;84,7033;142,318125770654;90,218;148,8597
2021-01-05;150,288475722118;84,7967;143,552795031056;90,546;149,4009
2021-01-06;148,693217355693;84,9033;144,389027431421;90,548;149,4042
2021-01-07;149,949741087201;85;145,840707964602;90,726;149,6979
2021-01-08;148,133408585332;85,105;145,063291139241;90,79;149,8035
2021-01-11;151,9655483458;85,3783;145,799180327869;90,987;150,12855
2021-01-12;151,20127627866;85,465;144,979508196721;91,074;150,2721
2021-01-13;151,509939205059;85,555;144,715238583889;91,031;150,20115
2021-01-14;149,178713668962;85,645;145,41935483871;91,187;150,45855
2021-01-15;151,9562525;85,735;145,386404755751;91,143;150,38595
2021-01-18;151,55625125;86,0667;145,360824742268;91,309;150,65985
2021-01-19;153,006411538462;86,1967;145,475638051044;91,766;151,4139
2021-01-20;151,5889470065;86,32;145,715023231802;91,764;151,4106
2021-01-21;154,321768819777;86,4283;145,955027138796;91,911;151,65315
2021-01-22;155,457145714286;86,5467;145,877487722926;92,004;151,8066
2021-01-25;151,971238378378;86,9117;146,376811594203;92,354;152,3841
2021-01-26;154,897956999307;87,0217;146,889580093313;92,395;152,45175
2021-01-27;153,557488850174;87,1233;147,384855581577;92,444;152,5326
2021-01-28;153,165064102564;87,2167;147,896524692971;92,581;152,75865
2021-01-29;156,626576576577;87,2983;147,876245411641;92,701;152,95665
2021-02-01;153,680144905063;87,605;148,332895773169;92,985;153,42525
2021-02-02;155,73717948718;87,7033;148,828022122728;93,062;153,5523
2021-02-03;151,086317173524;87,805;149,338274219164;92,962;153,3873
2021-02-04;153,324853488372;87,905;149,840595111583;93,189;153,76185
2021-02-05;152,39314400459;88,005;149,601275917065;93,317;153,97305
2021-02-08;147,30187416332;88,165;149,482071713147;93,567;154,38555
2021-02-09;151,02909403999;88,275;150;93,58;154,407
2021-02-10;154,302469135802;88,355;149,746328437917;93,726;154,6479
2021-02-11;149,112818674699;88,45;148,338286949473;93,866;154,8789
2021-02-12;149,059521778418;88,5383;147,654320987654;93,952;155,0208
2021-02-16;144,872836293914;88,5383;147,654320987654;93,952;155,0208
2021-02-17;147,102594137597;88,945;143,469839513005;94,231;155,48115
2021-02-18;147,023734557721;89,045;141,768707482993;94,293;155,58345
2021-02-19;146,353330946089;89,1567;140,646587455098;94,402;155,7633
2021-02-22;149,817835365854;89,4383;138,78954607978;94,768;156,3672
2021-02-23;143,449693902439;89,535;139,86013986014;94,826;156,4629
2021-02-24;142,650949620596;89,6383;140,936807095344;95,018;156,7797
2021-02-25;150,097857958321;89,7533;141,924869755964;95,076;156,8754
2021-02-26;149,408138372093;89,825;141,924959216966;95,118;156,9447
2021-03-01;152,289785776942;90,085;143,800978792822;95,489;157,55685
2021-03-02;151,021670827922;90,155;146,128410030311;95,668;157,8522
2021-03-03;153,692284846732;90,2233;146,107123136389;95,637;157,80105
2021-03-04;154,076845534208;90,295;145,107201759208;95,751;157,98915
2021-03-05;152,1534357039;90,365;145,874125874126;95,685;157,88025
2021-03-08;157,739608512791;90,5817;145,014005602241;95,997;158,39505
2021-03-09;151,974088669926;90,6517;145,389869095048;96,068;158,5122
2021-03-10;149,155952532244;90,7233;144,434497165025;96,308;158,9082
2021-03-11;148,270792233403;90,7867;144,299287410926;96,448;159,1392
2021-03-12;149,553383359893;90,855;144,838615876708;96,494;159,2151
2021-03-15;149,761397193836;91,0667;144,593821510297;96,691;159,54015
2021-03-16;149,457955530217;91,135;144,604519774011;96,807;159,73155
2021-03-17;148,76991426567;91,205;145,279329608939;96,756;159,6474
2021-03-18;150,221712270832;91,28;144,709659408152;96,825;159,76125
2021-03-19;149,49368459596;91,3567;144,000556792873;96,984;160,0236
2021-03-22;147,978793561316;91,5683;143,147486954133;97,095;160,20675
2021-03-23;147,560187351946;91,6367;142,777777777778;97,326;160,5879
2021-03-25;146,83568677792;91,7767;141,296348712143;97,454;160,7991
2021-03-26;144,571738779246;91,8483;138,448471121178;97,565;160,98225
2021-03-29;144,228932487413;91,9217;138,477069512547;97,608;161,0532
2021-03-30;145,71428814147;91,9583;140,390784485273;97,605;161,04825
2021-03-31;145,954721630202;91,985;142,187958883994;97,685;161,18025
2021-04-05;146,601986721855;92,2367;141,80774748924;98,103;161,86995
2021-04-06;148,396116438356;92,2867;143,661565116951;98,1;161,865
2021-04-07;149,554114575656;92,335;143,766271333526;98,193;162,01845
2021-04-08;150,015379357485;92,3867;144,664146554231;98,196;162,0234
2021-04-09;150,721384753993;92,435;144,382679929784;98,21;162,0465
