Fecha;Tasa;Volumen
2021-04-05;34,75;73391366956
2021-04-06;34;63534876195
2021-04-07;34,75;69954063049
2021-04-08;34,5;60402190860
2021-04-09;34,7;324263130001
2021-04-12;36;45920597621
2021-04-13;34,9;69747824813
2021-04-14;33,5;76535557694
2021-04-15;34;69900154068
2021-04-16;31;330625321692
2021-04-19;34,85;77248260837
2021-04-20;32,99;70054642646
2021-04-21;31;72540272687
2021-04-22;33;65205710464
2021-04-23;34,25;347870752703
2021-04-26;34,85;70294218950
2021-04-27;34,5;67830583377
2021-04-28;34,74;72730638434
2021-04-29;33,5;67726493745
2021-04-30;34,7;1344986927370
2021-05-03;34,75;68336031238
2021-05-04;34,7;61897966494
2021-05-05;35,01;67018005402
2021-05-06;35;62659944016
2021-05-07;34,65;323497850339
2021-05-10;34;67110273199
2021-05-11;34,5;62345871920
2021-05-12;34;69750905309
2021-05-13;36;69666864480
2021-05-14;34,99;336841937852
2021-05-17;34,7;68216604211
2021-05-18;32;61910951951
2021-05-19;35;64100884465
2021-05-20;32,5;61507308958
2021-05-21;32,75;322144965127
2021-05-26;34;81381998194
2021-05-27;35;68378983198
2021-05-28;34,9;222201538198
2021-05-31;34,7;1271220080224
2021-06-01;34,75;62946315023
2021-06-02;35;72811705177
2021-06-03;35;65363369356
2021-06-04;35,3;333946549796
2021-06-07;35;66337034769
2021-06-08;35;66631959850
