Factor;Valor
Total;-7781,62113965427
Compra de
Divisas;622,470317455287
Organismos
Internacionales;-5832,13005427024
Otras oper.
Sector Público;2668,09900952271
Efectivo
Mínimo;3188,73586126265
Otros;-8428,79627362468
