Fecha;Circulante en Entidades;Circulante en Público;Cta. Cte. en BCRA
2015-01-02;43884;315594,7172981;106382,82274952
2015-01-05;42958;316127,35533118;105893,66342402
2015-01-06;42234;315784,88494281;106989,771424
2015-01-07;39735;316369,98606486;102638,80650874
2015-01-08;37876;317317,235842;105598,61717618
2015-01-09;36845;317904,12701419;107007,20852502
2015-01-12;36994;317120,88525858;108877,87659926
2015-01-13;38444;314080,47119577;112289,94319051
2015-01-14;37549;312769,77014371;104792,69458667
2015-01-15;36487;311811,50539717;106839,62335916
2015-01-16;35293;311089,15326613;106413,35260684
2015-01-19;35421;309789,427568;107576,93011232
2015-01-20;35825;308228,35993708;110568,6781775
2015-01-21;35090;307585,45133724;100135,59390695
2015-01-22;34018;307512,96053882;100959,49436306
2015-01-23;33479;307361,84944394;103474,62405138
2015-01-26;34153;306168,54342852;97810,3980950098
2015-01-27;34676;305127,27536016;99784,7856389297
2015-01-28;34344;305000,80814294;98426,7704863901
2015-01-29;33938;305782,31921691;105014,38570246
2015-01-30;33103;307968,79751537;106922,64800469
2015-02-02;32776;310322,2550214;106286,77075292
2015-02-03;33408;310866,38695032;101673,14698351
2015-02-04;33192;312170,3924179;104392,38371881
2015-02-05;32807;314152,03415953;105000,12919174
2015-02-06;31948;316624,00171607;104131,31838572
2015-02-09;31749;317952,86546732;104335,00898098
2015-02-10;33884;315938,81721886;106064,80995188
2015-02-11;34930;314121,03345285;100414,59390124
2015-02-12;36128;313166,2901148;97059,7481017599
2015-02-13;36464;312693,06168001;101120,78859584
2015-02-18;37555;310621,06043816;105397,64263826
2015-02-19;37993;307968,65482349;105949,11150223
2015-02-20;36677;307101,34357283;112158,75647062
2015-02-23;35620;306425,33153581;111231,44594776
2015-02-24;34860;305428,89373518;109059,70340076
2015-02-25;34544;305174,61515699;106115,48141318
2015-02-26;34609;305605,76026664;103680,67054861
2015-02-27;33370;307779,41972729;105258,61353282
2015-03-02;32331;310399,43256206;114826,1922522
2015-03-03;33600;310574,65304048;113009,64794855
2015-03-04;33296;312000,2907938;108142,4706352
2015-03-05;32894;314293,80377888;103732,18245773
2015-03-06;31713;317297,37116588;99440,1468788399
2015-03-09;31770;318194,24106592;104110,99115073
2015-03-10;33309;316548,88741496;104443,82893438
2015-03-11;33943;315121,9049284;102217,05304262
2015-03-12;33989;314020,75484357;106502,94869065
2015-03-13;33625;313112,53811601;105481,5438341
2015-03-16;33599;312132,24477821;112303,31684063
2015-03-17;34374;310169,25585175;110323,14949341
2015-03-18;33830;309504,67920688;112640,02399906
2015-03-19;33804;309637,54436133;113076,79319831
2015-03-20;32950;310773,52319325;117118,10252535
2015-03-25;35344;308695,24637211;120247,71180891
2015-03-26;37379;307406,32464588;99713,5957869898
2015-03-27;38679;308116,39595551;98178,0168120197
2015-03-30;41507;308830,63111199;99335,7587085
2015-03-31;40332;310005,63111199;90016,5808248499
2015-04-01;39576;312548,72893759;114241,45281625
2015-04-06;38396;314966,25548589;106504,30053978
2015-04-07;38901;314887,29096082;105540,41516596
2015-04-08;36460;316367,88688496;106142,2705637
2015-04-09;34220;317951,98089487;110716,80659335
2015-04-10;33125;319171,20471266;110706,53123492
2015-04-13;33757;318418,82986647;110903,83648479
2015-04-14;34774;316298,73067703;109249,98409626
2015-04-15;34217;315235,97548472;113126,13961779
2015-04-16;33143;315245,129775;114940,35927635
2015-04-17;32042;315711,65191603;109623,21789204
2015-04-20;32338;315012,82684415;108152,35623496
2015-04-21;32904;313782,72132919;107705,01799775
2015-04-22;32502;313415,41276457;103386,26337536
2015-04-23;32038;313756,39999654;104269,73477164
2015-04-24;31772;314464,39258365;106290,04590976
2015-04-27;32927;313950,10753327;98915,0780071899
2015-04-28;34663;313363,26600759;94386,1072185298
2015-04-29;36337;314050,18005789;82590,4062650601
2015-04-30;34774;317305,90522646;117012,44006301
2015-05-04;33652;320943,68381886;116454,39800437
2015-05-05;34808;321634,55997703;111913,49682715
2015-05-06;34548;323208,96340276;108060,15701016
2015-05-07;34475;325242,87679928;106062,78468263
2015-05-08;33325;328214,40732141;108210,86459742
2015-05-11;33876;328928,53252925;113094,2080472
2015-05-12;34971;327834,24612925;114423,87854644
2015-05-13;36859;324778,57008733;112489,47864254
2015-05-14;36503;323908,19006886;111258,98821754
2015-05-15;35021;323823,58908208;111531,91424766
2015-05-18;34365;323639,49742065;112121,3289823
2015-05-19;34622;322210,49194041;110760,02936562
2015-05-20;33839;322764,39361064;111231,52618601
2015-05-21;33601;323537,218538;105381,35785257
2015-05-22;35649;324183,9800536;105821,61383768
2015-05-26;35980;323852,7545276;105480,49134467
2015-05-27;37076;322756,7045276;109474,997418
2015-05-28;39697;320136,1045276;102550,63051499
2015-05-29;38894;321870,6757196;101338,72013079
2015-06-01;38181;323686,6757196;117016,01898852
2015-06-02;39654;324999,88789308;116588,02081933
2015-06-03;39154;327443,52886295;108669,4695573
2015-06-04;37049;332949,21417511;114758,09990126
2015-06-05;35198;337328,78980695;110386,73409865
2015-06-08;35243;339770,98319032;116324,7819604
2015-06-09;35943;339452,71419032;115580,00491762
2015-06-10;35918;340033,59607276;119479,41888685
