"Factor","Valor"
"Total",-188.541586968902
"Compra de
Divisas",390.39497737
"Organismos
Internacionales",-433.887640680443
"Otras oper.
Sector Público",-276.939292624678
"Efectivo
Mínimo",390.081818222303
"Otros",-258.191449256084
