"Fecha","Pases Pasivos","LELIQ","Cta. Cte. en BCRA","Circulante","LEBAC"
2004-05-28,9278.39515253309,NA,951947.046082821,1630061.11051112,729593.440583413
2004-06-01,28081.7033080709,NA,927091.341696065,1657086.4353019,736883.808136315
2004-07-01,193384.14315989,NA,771429.413368746,1721506.62075884,743017.983054011
2004-08-02,208692.090590514,NA,771162.510759201,1714737.70219018,751017.126585118
2004-09-01,248658.203657748,NA,762483.226053349,1698725.03544705,741452.240825395
2004-10-01,297187.046811977,NA,761116.615519608,1695975.16027443,736027.738781515
2004-11-01,307268.11805349,NA,774406.021521457,1715026.24389426,763541.273751558
2004-12-01,290250.37006905,NA,769773.1138116,1884502.47581186,760611.583133945
2005-01-03,395479.89293648,NA,704629.398951786,1876523.31243531,786664.515931296
2005-02-01,365575.045627758,NA,696710.277222612,1830501.58075733,815715.436858361
2005-03-01,264791.078218615,NA,682600.053701807,1828244.02449498,856726.332333674
2005-04-01,268616.157652431,NA,668060.033795702,1835144.81152183,889852.227541445
2005-05-02,257333.380159094,NA,677341.09581233,1863970.0321322,933699.372841913
2005-06-01,280003.659938041,NA,637523.53916948,1910174.33462855,1092090.79765093
2005-07-01,237770.089818385,NA,670335.978690177,1991659.08604166,1146020.4967575
2005-08-01,346308.29171529,NA,636512.011079234,2001653.30022206,1191214.16478874
2005-09-01,362131.74074613,NA,557188.202871882,1997221.52167977,1245401.23383218
2005-10-03,231220.076833823,NA,612096.419616685,2025123.93272821,1280530.78451865
2005-11-01,230305.758683611,NA,598275.213287279,2037280.5752665,1254345.75509112
2005-12-01,265194.023641693,NA,454859.293310095,2151520.24724805,1219509.61300945
2006-01-02,180576.229752132,NA,560864.517047165,2167624.85304479,1175956.24410966
2006-02-01,198179.013818281,NA,539471.087843931,2136416.07021507,1178183.60280313
2006-03-01,142773.51122909,NA,538290.639616873,2112374.19039707,1264890.05015969
2006-04-03,150635.623181958,NA,585484.59289466,2121762.86549365,1277314.98024862
2006-05-02,251701.027082653,NA,612952.019830441,2123961.84173705,1333349.97348839
