Fecha;Caja de Ahorros;Circulante en poder del público;Cta. Cte.
2019-01-02;611063;739749;728567
2019-01-03;610400;737171;706207
2019-01-04;613485;737533;573446
2019-01-07;604553;741104;567609
2019-01-08;588033;738446;556623
2019-01-09;587659;735525;553324
2019-01-10;571745;733444;580041
2019-01-11;557113;729852;582286
2019-01-14;554618;725844;602015
2019-01-15;604899;719204;552858
2019-01-16;616188;714628;545726
2019-01-17;579315;711199;564723
2019-01-18;573442;708877;557494
2019-01-21;559566;707097;578000
2019-01-22;536353;702362;594108
2019-01-23;522233;698965;600914
2019-01-24;521052;698509;594810
2019-01-25;528030;697941;601294
2019-01-28;526733;696621;610519
2019-01-29;534658;694264;597992
2019-01-30;549811;694608;599291
2019-01-31;579262;696163;559586
2019-02-01;607142;701019;531587
2019-02-04;570819;706989;577169
2019-02-05;566072;706524;564978
2019-02-06;587671;709091;558641
2019-02-07;573991;711990;560342
2019-02-08;577538;714481;508822
2019-02-11;544409;713232;555545
2019-02-12;526711;706651;589970
2019-02-13;513059;701735;601550
2019-02-14;516972;699169;611465
2019-02-15;518151;696685;597981
2019-02-18;525976;694052;622827
2019-02-19;511999;688942;631915
2019-02-20;501910;686086;658775
2019-02-21;496668;684929;676975
2019-02-22;487062;686054;650558
2019-02-25;478172;684783,9;665394
2019-02-26;493145;682989;652592
2019-02-27;526240;684540;635697
2019-02-28;570076;689356,8;580132
2019-03-01;602266;696328;530291
2019-03-06;581715;705486;561530
2019-03-07;592650;705639;553934
2019-03-08;598765;709906;544984
2019-03-11;561457;712776;516651
2019-03-12;554068;708387;549705
2019-03-13;538485;704897,4;579360
2019-03-14;539348;702135;575911
2019-03-15;550671;700851;602313
2019-03-18;557262;697098;592648
2019-03-19;541771;692524;597893
2019-03-20;527750;690434,5;634524
2019-03-21;530232;690738,7;623062
2019-03-22;532526;691060;629312
2019-03-25;531895;690597;636194
2019-03-26;536138;688240;623627
2019-03-27;563418;688338;618558
2019-03-28;596175;690979;622586
2019-03-29;608815;698370;595654
2019-04-01;601838;706572;599396
2019-04-03;598198;708837;571807
2019-04-04;614621;710514;553124
2019-04-05;638265;716908;526068
2019-04-08;605914;723513;541001
2019-04-09;584408;719982;540513
2019-04-10;564969;717463;575185
2019-04-11;556969;714740;596763
2019-04-12;570180;712313;582482
2019-04-15;564190;709722;592047
2019-04-16;561003;704575;578513
2019-04-17;560175;704516;569384
2019-04-22;538381;698893;628434
2019-04-23;524912;692678;641498
2019-04-24;538822;691392;648818
2019-04-25;542343;691405;667891
2019-04-26;557138;694188;643831
2019-04-29;601549;699712;633930
2019-04-30;632178;703273;608467
2019-05-02;656316;711609;586543
2019-05-03;661278;716589;568000
2019-05-06;641532;724305;574099
2019-05-07;648075;725414;567532
2019-05-08;637192;728866;561736
2019-05-09;622414;730983;558183
2019-05-10;609588;731472;576474
2019-05-13;570884;728928;629950
2019-05-14;572649;722593;639003
2019-05-15;577002;717560;659769
2019-05-16;576332;716470;648323
2019-05-17;571300;716176;659560
2019-05-20;555738;713943;695624
2019-05-21;543065;709777;685517
2019-05-22;528805;708640;708804
2019-05-23;530024;709877;713681
2019-05-24;531834;711509;640879
2019-05-27;532653;713093;648697
2019-05-28;537691;713424;651395
2019-05-29;550354;713830;666328
2019-05-30;570005;715457;648930
2019-05-31;625932;717862;601122
2019-06-03;625619;726607;649594
2019-06-04;623812;729239;624195
2019-06-05;631499;734125;601054
2019-06-06;643980;740367;580067
2019-06-07;633091;748123;579587
2019-06-10;595084;752840;583309
2019-06-11;584926;747333;619993
2019-06-12;573592;744771;637468
2019-06-13;574059;743364;648199
2019-06-14;580318;745025;656767
2019-06-18;560499;744598;657458
2019-06-19;553449;743311;663738
2019-06-21;556806;745866;654574
2019-06-24;559776;748905;677511
2019-06-25;556398;748956;681790
2019-06-26;579194;752253;720690
2019-06-27;609626;758588;677415
2019-06-28;692932;770991;581011
2019-07-01;691863;784047;596620
2019-07-02;675078;787961;585741
2019-07-03;691090;792771;574479
2019-07-04;711455;800345;559206
2019-07-05;705850;810210;544254
2019-07-10;633446;812159;584917
2019-07-11;613535;809248;628480
2019-07-12;601573;805295;656903
2019-07-15;592771;803286;680327
2019-07-16;599000;797346;651730
2019-07-17;629806;794689;628714
2019-07-18;627682;793740;658789
2019-07-19;617469;794757;661197
2019-07-22;594317;793913;673121
2019-07-23;581599;789555;687638
2019-07-24;575351;788872;696476
2019-07-25;565438;789285;701826
2019-07-26;568523;790350;684381
2019-07-29;574434;790658;697455
2019-07-30;601218;789899;678578
2019-07-31;661357;792282;631513
2019-08-01;672033;797168;628693
2019-08-02;664048;804176;609579
2019-08-05;651829;812057;613141
2019-08-06;669187;814015;618617
2019-08-07;660954;815684;604260
2019-08-08;660985;817381;592870
2019-08-09;653736;816999;601716
2019-08-12;605719;814681;678043
2019-08-13;593268;807426;697863
2019-08-14;602001;803779;721051
2019-08-15;599880;802427;715406
2019-08-16;610931;801907;684542
2019-08-20;581257;796013;708757
2019-08-21;569506;791671;714876
2019-08-22;555330;789570;720847
2019-08-23;564681;790349;707426
2019-08-26;566170;789104;718344
2019-08-27;574227;785926;712087
2019-08-28;576564;786584;721162
2019-08-29;581343;789754;767183
2019-08-30;649197;795384;741084
2019-09-02;660779;806055;761646
2019-09-03;653043;808126;762163
2019-09-04;675926;811363;729529
2019-09-05;723177;817432;695571
2019-09-06;718520;824833;690743
2019-09-09;683034;829248;683647
2019-09-10;659439;824783;696219
2019-09-11;649775;822377;730920
2019-09-12;657810;820348;733515
2019-09-13;639331;819445;736906
2019-09-16;630759;817570;717977
2019-09-17;578593;812359;721417
2019-09-18;558267;809422;745059
2019-09-19;549728;809250;757036
2019-09-20;549553;809362;748877
2019-09-23;549120;810360;733297
2019-09-24;539710;808477;740324
2019-09-25;550314;807968;750607
2019-09-26;564479;808072;746587
2019-09-27;609846;812379;757826
2019-09-30;656019;816302;733877
2019-10-01;665294;817058;717289
2019-10-02;665395;820738;739083
2019-10-03;690228;825490;720187
2019-10-04;729608;833618;702663
2019-10-07;675494;842770;708639
2019-10-08;653517;840102;713186
2019-10-09;650018;839806;731996
2019-10-10;634096;840089;751099
2019-10-11;629984;838201;782563
2019-10-15;626198;832727;826142
2019-10-16;640694;828042;807544
