Factor;Valor
Total;1205450
Compra de
divisas al
SP;424213,77969352
Compra de
divisas al
Tesoro;-55299,34378875
Otras
operaciones
con Tesoro;1521294,96369783
Pases;596696,099645721
Leliq;-2337141,54949414
Redesc.;0
Intereses;1604683,33047497
Otros;-548997,280229151
