"Factor","Valor"
"Total",86195.4150799303
"Compra de
divisas al
SP",63256.3553
"Compra de
divisas al
Tesoro",-40000
"Otras
operaciones
con Tesoro",-15259.47215547
"Pases",83919.9579042441
"Leliq",-90813.4452145066
"Redesc.",0
"Intereses",147903.389922923
"Otros",-62811.0392807898
